Title,Named-entity,Frequency
Angela Merkel,Infobox,3
Angela Merkel,Angela Merkel,38
Angela Merkel,2019,6
Angela Merkel,Germany,46
Angela Merkel,GauckFrank-Walter Steinmeier,1
Angela Merkel,Mntefering2Frank-Walter Steinmeier3Guido,1
Angela Merkel,Rsler5Sigmar Gabriel6Olaf Scholz,1
Angela Merkel,November 2005,5
Angela Merkel,December 2021,2
Angela Merkel,Gerhard Schrder,6
Angela Merkel,Olaf Scholz,2
Angela Merkel,the Christian Democratic Union,3
Angela Merkel,1blankname1,1
Angela Merkel,1namedata1,1
Angela Merkel,Polenz2Laurenz Meyer3Volker,1
Angela Merkel,Tauber7Annegret Kramp-Karrenbauer,1
Angela Merkel,Bouffier2Christian,1
Angela Merkel,Wulff3Ursula von der Leyen4Annette Schavan5Julia,1
Angela Merkel,Rttgen7Armin Laschet8Thomas Strobl,1
Angela Merkel,April 2000,2
Angela Merkel,December 2018,2
Angela Merkel,Annegret Kramp-Karrenbauer,1
Angela Merkel,22,4
Angela Merkel,September 2002,2
Angela Merkel,Friedrich Merz successor3,1
Angela Merkel,Wolfgang Gerhardt,1
Angela Merkel,CSU,14
Angela Merkel,Bundestag 1blankname5           ,1
Angela Merkel,1namedata5,1
Angela Merkel,1blankname4,1
Angela Merkel,First,2
Angela Merkel,1namedata4,1
Angela Merkel,Michael Glos,1
Angela Merkel,Friedrich Merz,3
Angela Merkel,Wolfgang Schuble,3
Angela Merkel,November 1998,1
Angela Merkel,Peter Hintze,1
Angela Merkel,Mecklenburg,1
Angela Merkel,1blankname7,1
Angela Merkel,1namedata7,1
Angela Merkel,PreschleHubert Gehring,1
Angela Merkel,June 1993,2
Angela Merkel,May 2000,1
Angela Merkel,Steffie Schnoor,1
Angela Merkel,"the Environment, Nature Conservation and Nuclear Safety",3
Angela Merkel,Helmut Kohl term_start8,1
Angela Merkel,17,1
Angela Merkel,November 1994,2
Angela Merkel,October 1998,1
Angela Merkel,Klaus Tpfer,1
Angela Merkel,Jrgen Trittin,1
Angela Merkel,Helmut Kohl,2
Angela Merkel,January 1991,1
Angela Merkel,Ursula Lehr,1
Angela Merkel,Claudia Nolte,1
Angela Merkel,Bundestag,5
Angela Merkel,Mecklenburg-Vorpommern,3
Angela Merkel,December 1990,1
Angela Merkel,October 2021,1
Angela Merkel,successor11          Anna Kassautzki,1
Angela Merkel,Angela Dorothea Kasner,2
Angela Merkel,Hamburg,6
Angela Merkel,West Germany,4
Angela Merkel,Christian Democratic Union,4
