Title,Named-entity,Frequency
Barack Obama,Infobox,1
Barack Obama,Barack Obama.jpg,1
Barack Obama,44th,2
Barack Obama,the United States,9
Barack Obama,2012,18
Barack Obama,Joe Biden,5
Barack Obama,"January 20, 2009",4
Barack Obama,"January 20, 2017",3
Barack Obama,George W. Bush,3
Barack Obama,Donald Trump jr,1
Barack Obama,United States,10
Barack Obama,Illinois,5
Barack Obama,"January 3, 2005",1
Barack Obama,"November 16, 2008",2
Barack Obama,Peter Fitzgerald,2
Barack Obama,Roland Burris,1
Barack Obama,Illinois district2            Illinois'13th,1
Barack Obama,Alice Palmer,2
Barack Obama,"January 8, 1997",1
Barack Obama,"November 4, 2004",1
Barack Obama,Kwame Raoul,1
Barack Obama,Barack Hussein Obama II,2
Barack Obama,Honolulu,4
Barack Obama,Hawaii,9
Barack Obama,U.S.,23
Barack Obama,Democratic,10
Barack Obama,Malia Sasha,1
Barack Obama,Barack Obama Sr.,1
Barack Obama,Ann Dunham,1
Barack Obama,Barack Obama,12
Barack Obama,Washington,2
Barack Obama,D.C.,1
Barack Obama,Punahou School,1
Barack Obama,"August 4, 1961",1
Barack Obama,American,7
Barack Obama,Obama,136
Barack Obama,Columbia University,2
Barack Obama,1983,1
Barack Obama,Chicago,11
Barack Obama,1988,1
Barack Obama,Harvard Law School,2
Barack Obama,first,17
Barack Obama,the Harvard Law Review,1
Barack Obama,the University of Chicago Law School,3
Barack Obama,1992,4
Barack Obama,2004,14
Barack Obama,13th,1
Barack Obama,the Illinois Senate,3
Barack Obama,1997,1
Barack Obama,the U.S. Senate,1
Barack Obama,March,2
Barack Obama,Senate,7
Barack Obama,July,1
Barack Obama,National Convention,1
Barack Obama,November,1
Barack Obama,2008,2
Barack Obama,a year,2
Barack Obama,Hillary Clinton,3
Barack Obama,the Democratic Party,4
Barack Obama,Republican,10
Barack Obama,John McCain,1
Barack Obama,Nine months later,1
Barack Obama,2009,6
Barack Obama,Nobel Peace Prize,2
Barack Obama,the Affordable Care Act,3
Barack Obama,ACA,4
Barack Obama,Obamacare,1
Barack Obama,the DoddFrank Wall Street Reform and Consumer Protection Act,1
Barack Obama,2010,2
Barack Obama,The American Recovery and Reinvestment Act,1
Barack Obama,the Great Recession,2
Barack Obama,the Budget Control,1
Barack Obama,the American Taxpayer Relief Acts,1
Barack Obama,Afghanistan,4
Barack Obama,2001Afghanistan,1
Barack Obama,Iraq,7
Barack Obama,the Iraq War,2
Barack Obama,2011,17
Barack Obama,Anwar al-Awlaki,2
Barack Obama,US,3
Barack Obama,al-Qaeda,2
Barack Obama,Libya,3
Barack Obama,the UN Security Council Resolution 1973,1
Barack Obama,Muammar Gaddafi,2
Barack Obama,Osama bin Laden,2
Barack Obama,Mitt Romney,2
Barack Obama,second,2
Barack Obama,"January 20, 2013",1
Barack Obama,LGBT Americans,1
Barack Obama,the Supreme Court,4
Barack Obama,Obergefell,2
Barack Obama,Hodges,1
Barack Obama,2015,3
Barack Obama,Court,1
Barack Obama,Paris Agreement,1
Barack Obama,Kunduz,1
Barack Obama,2011U.S.,1
Barack Obama,2016,4
Barack Obama,Russia,3
Barack Obama,the Annexation of Crimea,1
Barack Obama,Iran,3
Barack Obama,Cuba,3
Barack Obama,three,3
Barack Obama,Sonia Sotomayor,2
Barack Obama,Elena Kagan,1
Barack Obama,Merrick Garland,1
Barack Obama,the United States',1
Barack Obama,2018,2
Barack Obama,2020,5
Barack Obama,Biden,1
Barack Obama,1995,12
Barack Obama,2006,5
Barack Obama,A Promised Land,1
Barack Obama,August 4,1
Barack Obama,pp,33
Barack Obama,910,1
Barack Obama,Scott,6
Barack Obama,Jacobs,5
Barack Obama,115118,2
Barack Obama,154160,1
Barack Obama,Wailuku,1
Barack Obama,"February 2, 1961",1
Barack Obama,six months,1
Barack Obama,86,1
Barack Obama,125127,2
Barack Obama,160163.In,1
Barack Obama,late August 1961,1
Barack Obama,a few weeks,1
Barack Obama,Barack,5
Barack Obama,the University of Washington,1
Barack Obama,Seattle,1
Barack Obama,June 1962,1
Barack Obama,Harvard University,1
Barack Obama,M.A.,1
Barack Obama,March 1964.Scott,1
Barack Obama,8793,1
Barack Obama,133161,1
Barack Obama,170183,1
Barack Obama,188189,1
Barack Obama,Obama Sr.,1
Barack Obama,Kenya,1
Barack Obama,1964,1
Barack Obama,third,1
Barack Obama,Kenyan,2
Barack Obama,the Senior Economic Analyst,1
Barack Obama,the Ministry of Finance,1
Barack Obama,"Christmas 1971,Scott",1
Barack Obama,161177,1
Barack Obama,227230,2
Barack Obama,190194,1
Barack Obama,201209,1
Barack Obama,1982,1
Barack Obama,21 years old,1
Barack Obama,251255,1
Barack Obama,411417,1
Barack Obama,Dunham,1
Barack Obama,Lolo Soetoro,1
Barack Obama,the University of Hawaii,2
Barack Obama,Indonesian,2
Barack Obama,EastWest Center,1
Barack Obama,Molokai,1
Barack Obama,"March 15, 1965.Scott",1
Barack Obama,97103,1
Barack Obama,195201,2
Barack Obama,225230,1
Barack Obama,two,5
Barack Obama,one-year,2
Barack Obama,Lolo,2
Barack Obama,Indonesia,5
Barack Obama,1966,1
Barack Obama,sixteen months later in 1967,1
Barack Obama,the Menteng Dalam,1
Barack Obama,Tebet,2
Barack Obama,South Jakarta,1
Barack Obama,1970,1
Barack Obama,Menteng,1
Barack Obama,Central Jakarta,1
Barack Obama,Maraniss,2
Barack Obama,209223,1
Barack Obama,230244.EducationAt,1
Barack Obama,the age of six,1
Barack Obama,age six to ten,1
Barack Obama,Sekolah Dasar Katolik Santo,1
Barack Obama,Asisi,1
Barack Obama,St. Francis,1
Barack Obama,Assisi Catholic Elementary School,1
Barack Obama,two years,1
Barack Obama,Sekolah Dasar,1
Barack Obama,Negeri Menteng,1
Barack Obama,State Elementary School Menteng 01,1
Barack Obama,one and a half years,1
Barack Obama,English,1
Barack Obama,Calvert School,1
Barack Obama,216,1
Barack Obama,221,1
Barack Obama,230,1
Barack Obama,1971,1
Barack Obama,Madelyn,1
Barack Obama,Stanley Dunham,1
Barack Obama,Punahou Schoola,1
Barack Obama,fifth,1
Barack Obama,1979,2
Barack Obama,264269,1
Barack Obama,Barry,1
Barack Obama,half,3
Barack Obama,Maya Soetoro-Maya Soetoro,1
Barack Obama,three years,1
Barack Obama,139157,1
Barack Obama,279281,2
Barack Obama,1975,1
Barack Obama,157194,1
Barack Obama,324326,1
Barack Obama,the next two decades,1
Barack Obama,1980,1
Barack Obama,PhD,1
Barack Obama,214,1
Barack Obama,294,1
Barack Obama,317346.Of,1
Barack Obama,his years,1
Barack Obama,Los Angeles,1
Barack Obama,Occidental College,1
Barack Obama,February 1981,1
Barack Obama,Occidental,1
Barack Obama,South Africa,1
Barack Obama,mid-1981,1
Barack Obama,Maya,1
Barack Obama,Pakistan,2
Barack Obama,India,1
Barack Obama,three weeks,1
Barack Obama,1981,1
Barack Obama,New York City,1
Barack Obama,133140,1
Barack Obama,Mendell,6
Barack Obama,2007,10
Barack Obama,6263.Family,1
Barack Obama,mini-United Nations,1
Barack Obama,Bernie Mac,1
Barack Obama,Margaret Thatcher,1
Barack Obama,Sheila Miyoshi,1
Barack Obama,Jager,1
Barack Obama,the 1980s,1
Barack Obama,May 2017,1
Barack Obama,several months,2
Barack Obama,June 1989,1
Barack Obama,Michelle Robinson,1
Barack Obama,Sidley Austin,1
Barack Obama,327332,1
Barack Obama,the Chicago White Sox,1
Barack Obama,the 2005 ALCS,1
Barack Obama,2005,1
Barack Obama,Hyde Park,2
Barack Obama,1.6,1
Barack Obama,Tony Rezkoattracted,1
Barack Obama,Rezko,1
Barack Obama,December 2007,1
Barack Obama,Money Magazine,1
Barack Obama,1.3Religious,1
Barack Obama,Protestant Christian,1
Barack Obama,his twenties,1
Barack Obama,African-American,3
Barack Obama,January 2008,1
Barack Obama,Christianity Today,1
Barack Obama,Christian,2
Barack Obama,Trinity United Church of Christ,1
Barack Obama,Jeremiah Wright,1
Barack Obama,October 1987,2
Barack Obama,Trinity,2
Barack Obama,May 2008,1
Barack Obama,Wright,2
Barack Obama,Pope Francis,2
Barack Obama,Hindu,1
Barack Obama,Hanuman,1
Barack Obama,Coptic,1
Barack Obama,Ethiopia,2
Barack Obama,Buddha,1
Barack Obama,Iowa,1
Barack Obama,Harvard Law SchoolTwo years,1
Barack Obama,Columbia,1
Barack Obama,New York,1
Barack Obama,the Developing Communities Project,1
Barack Obama,eight,1
Barack Obama,Catholic,1
Barack Obama,Roseland,2
Barack Obama,West Pullman,2
Barack Obama,Riverdale,2
Barack Obama,South Side,3
Barack Obama,June 1985 to May 1988,1
Barack Obama,140295,1
Barack Obama,6383,1
Barack Obama,Altgeld Gardens Homes,1
Barack Obama,Altgeld Gardens,1
Barack Obama,299437,1
Barack Obama,Northwestern University School of Law,1
Barack Obama,the fall of 1988,1
Barack Obama,Somerville,1
Barack Obama,Massachusetts,2
Barack Obama,8092,1
Barack Obama,his second year,1
Barack Obama,xiiixvii,1
Barack Obama,mid-1995,1
Barack Obama,University of Chicago Law SchoolIn 1991,1
Barack Obama,two-year,2
Barack Obama,twelve years,1
Barack Obama,1996,6
Barack Obama,April to October 1992,1
Barack Obama,ten,1
Barack Obama,seven hundred,1
Barack Obama,"150,000",1
Barack Obama,"400,000",1
Barack Obama,African Americans,1
Barack Obama,Crain,1
Barack Obama,Chicago Business,1
Barack Obama,1993,1
Barack Obama,40 under Forty,1
Barack Obama,Davis,1
Barack Obama,Miner,1
Barack Obama,Barnhill & Galland,1
Barack Obama,13,1
Barack Obama,three years from 1993 to 1996,1
Barack Obama,2004.From 1994 to 2002,1
Barack Obama,the Woods Fund of Chicagowhich,1
Barack Obama,1985,1
Barack Obama,the Developing Communities Projectand of the Joyce Foundation,1
Barack Obama,the Chicago Annenberg Challenge,1
Barack Obama,1995 to 2002,1
Barack Obama,1999,1
Barack Obama,Hyde ParkKenwood,1
Barack Obama,Kenwood,1
Barack Obama,South Shore,2
Barack Obama,Chicago Lawn,2
Barack Obama,1998,1
