Title,Named-entity,Frequency
Brad Pitt,Infobox,1
Brad Pitt,Brad Pitt,6
Brad Pitt,2019,4
Brad Pitt,Glenn Francis.jpg,1
Brad Pitt,Hollywood,4
Brad Pitt,Pitt,46
Brad Pitt,William Bradley,1
Brad Pitt,Shawnee,2
Brad Pitt,Oklahoma,2
Brad Pitt,U.S.,2
Brad Pitt,University of Missouri,2
Brad Pitt,6,1
Brad Pitt,Douglas Pitt,1
Brad Pitt,Bradley Pitt,1
Brad Pitt,"December 18, 1963",2
Brad Pitt,American,2
Brad Pitt,an Academy Award,1
Brad Pitt,British,1
Brad Pitt,two,3
Brad Pitt,Golden Globe Awards,3
Brad Pitt,second,5
Brad Pitt,Academy Award,2
Brad Pitt,British Academy Film Award,1
Brad Pitt,third,2
Brad Pitt,Golden Globe Award,2
Brad Pitt,Plan B Entertainment,1
Brad Pitt,first,3
Brad Pitt,Thelma & Louise,1
Brad Pitt,1991,1
Brad Pitt,1992,2
Brad Pitt,Legends of the Fall,1
Brad Pitt,1994,3
Brad Pitt,Interview with the Vampire,1
Brad Pitt,Seven,3
Brad Pitt,1995,3
Brad Pitt,12,1
Brad Pitt,Fight Club,2
Brad Pitt,1999,2
Brad Pitt,Ocean's,1
Brad Pitt,Eleven (2001,2
Brad Pitt,Ocean,4
Brad Pitt,2004,4
Brad Pitt,Thirteen (2007,1
Brad Pitt,Troy,3
Brad Pitt,&,3
Brad Pitt,Smith,2
Brad Pitt,2005,2
Brad Pitt,World War Z,2
Brad Pitt,2013,2
Brad Pitt,the Academy Award for Best Supporting,1
Brad Pitt,The Curious Case of Benjamin Button,1
Brad Pitt,2008,2
Brad Pitt,Moneyball,2
Brad Pitt,2011,3
Brad Pitt,The Departed,1
Brad Pitt,2006,2
Brad Pitt,12 Years,1
Brad Pitt,the Academy Award for Best Picture,1
Brad Pitt,The Tree of Life,1
Brad Pitt,The Big Short,1
Brad Pitt,2015,1
Brad Pitt,Best Picture,1
Brad Pitt,Academy Awards,1
Brad Pitt,many years,1
Brad Pitt,Jennifer Aniston,3
Brad Pitt,Angelina Jolie,3
Brad Pitt,six,1
Brad Pitt,Jolie,10
