Title,Named-entity,Frequency
Cristiano Ronaldo,Infobox,1
Cristiano Ronaldo,Portugal,40
Cristiano Ronaldo,the 2018 World Cup,1
Cristiano Ronaldo,Santos Aveiro,3
Cristiano Ronaldo,Funchal,3
Cristiano Ronaldo,Madeira,4
Cristiano Ronaldo,1.87 m,1
Cristiano Ronaldo,United F.C.Manchester United,1
Cristiano Ronaldo,1992youthclubs1,1
Cristiano Ronaldo,1995youthclubs2,1
Cristiano Ronaldo,1997youthclubs3,1
Cristiano Ronaldo,2002clubs1,1
Cristiano Ronaldo,0,1
Cristiano Ronaldo,2002clubs2,1
Cristiano Ronaldo,goals2,1
Cristiano Ronaldo,3,2
Cristiano Ronaldo,2003clubs3,1
Cristiano Ronaldo,84,1
Cristiano Ronaldo,2009clubs4,1
Cristiano Ronaldo,goals4,1
Cristiano Ronaldo,311,1
Cristiano Ronaldo,2018clubs5,1
Cristiano Ronaldo,81,1
Cristiano Ronaldo,2021clubs6,1
Cristiano Ronaldo,16,1
Cristiano Ronaldo,7,3
Cristiano Ronaldo,2001nationalteam2,1
Cristiano Ronaldo,nationalgoals2,1
Cristiano Ronaldo,5,1
Cristiano Ronaldo,nationalgoals3,1
Cristiano Ronaldo,1,1
Cristiano Ronaldo,2002nationalteam4,1
Cristiano Ronaldo,nationalgoals4,1
Cristiano Ronaldo,2,1
Cristiano Ronaldo,2003nationalteam6,1
Cristiano Ronaldo,115,2
Cristiano Ronaldo,23 April 2022,1
Cristiano Ronaldo,UTC,2
Cristiano Ronaldo,29 March 2022,1
Cristiano Ronaldo,four,10
Cristiano Ronaldo,European,7
Cristiano Ronaldo,32,4
Cristiano Ronaldo,seven,4
Cristiano Ronaldo,five,6
Cristiano Ronaldo,UEFA Champions Leagues,1
Cristiano Ronaldo,one,8
Cristiano Ronaldo,UEFA,6
Cristiano Ronaldo,UEFA Nations League,2
Cristiano Ronaldo,183,1
Cristiano Ronaldo,UEFA Champions League,4
Cristiano Ronaldo,140,1
Cristiano Ronaldo,European Cup,2
Cristiano Ronaldo,42,2
Cristiano Ronaldo,the Champions League,2
Cristiano Ronaldo,the European Championship,1
Cristiano Ronaldo,14,2
Cristiano Ronaldo,186,1
Cristiano Ronaldo,Sporting CP,1
Cristiano Ronaldo,Manchester United,8
Cristiano Ronaldo,2003,4
Cristiano Ronaldo,18,3
Cristiano Ronaldo,the FA Cup,1
Cristiano Ronaldo,his first season,2
Cristiano Ronaldo,three,11
Cristiano Ronaldo,Premier League,4
Cristiano Ronaldo,the FIFA Club World Cup,1
Cristiano Ronaldo,age 23,1
Cristiano Ronaldo,Ballon,3
Cristiano Ronaldo,Real Madrid,8
Cristiano Ronaldo,2009,2
Cristiano Ronaldo,94million,2
Cristiano Ronaldo,15,1
Cristiano Ronaldo,two,21
Cristiano Ronaldo,La Liga,7
Cristiano Ronaldo,Copa del Rey,1
Cristiano Ronaldo,Champions Leagues,1
Cristiano Ronaldo,2013,2
Cristiano Ronaldo,2014,8
Cristiano Ronaldo,2016,8
Cristiano Ronaldo,Lionel Messi,3
Cristiano Ronaldo,Messicareer,1
Cristiano Ronaldo,2018,6
Cristiano Ronaldo,Juventus,14
Cristiano Ronaldo,an initial 100million,1
Cristiano Ronaldo,88million,1
Cristiano Ronaldo,Italian,1
Cristiano Ronaldo,30 years old,1
Cristiano Ronaldo,Serie A,2
Cristiano Ronaldo,Supercoppe,1
Cristiano Ronaldo,Italia,1
Cristiano Ronaldo,United,8
Cristiano Ronaldo,the age of 18,1
Cristiano Ronaldo,more than 100,1
Cristiano Ronaldo,Ronaldo,19
Cristiano Ronaldo,11,2
Cristiano Ronaldo,first,25
Cristiano Ronaldo,July 2008,1
Cristiano Ronaldo,2015,2
Cristiano Ronaldo,Portuguese,6
Cristiano Ronaldo,the Portuguese Football Federation,1
Cristiano Ronaldo,The following year,1
Cristiano Ronaldo,Euro 2016,2
Cristiano Ronaldo,the Silver Boot,1
Cristiano Ronaldo,second,13
Cristiano Ronaldo,2018UEFA,1
Cristiano Ronaldo,Nations League,2
Cristiano Ronaldo,2019,4
Cristiano Ronaldo,the Golden Boot,1
Cristiano Ronaldo,Forbes,4
Cristiano Ronaldo,2017,7
Cristiano Ronaldo,ESPN,2
Cristiano Ronaldo,2016 to 2019,1
Cristiano Ronaldo,100,6
Cristiano Ronaldo,third,4
Cristiano Ronaldo,US$1 billion,1
Cristiano Ronaldo,Pedro,1
Cristiano Ronaldo,Santo Antnio,1
Cristiano Ronaldo,1992,1
Cristiano Ronaldo,1995,1
Cristiano Ronaldo,Club,1
Cristiano Ronaldo,age 16,1
Cristiano Ronaldo,Sporting's,1
Cristiano Ronaldo,Lszl Blni,1
Cristiano Ronaldo,Manchester United F.C.Manchester United,1
Cristiano Ronaldo,Alex Ferguson,1
Cristiano Ronaldo,Sporting,1
Cristiano Ronaldo,United 31,1
Cristiano Ronaldo,August 2003,1
Cristiano Ronaldo,May 2018,1
Cristiano Ronaldo,Ferguson,2
Cristiano Ronaldo,Sporting 12.24million,1
Cristiano Ronaldo,20032007,1
Cristiano Ronaldo,12 August 2003,1
Cristiano Ronaldo,FA Community Shield,1
Cristiano Ronaldo,Bolton Wanderers,2
Cristiano Ronaldo,the opening day,1
Cristiano Ronaldo,2003200304 season,1
Cristiano Ronaldo,40,2
Cristiano Ronaldo,the Premier League,1
Cristiano Ronaldo,16 August 2003,1
Cristiano Ronaldo,Nicky Butt,1
Cristiano Ronaldo,"1,000th",1
Cristiano Ronaldo,29 October 2004,1
Cristiano Ronaldo,41,2
Cristiano Ronaldo,Middlesbrough F.C.Middlesbrough,1
Cristiano Ronaldo,his third season,1
Cristiano Ronaldo,England,2
Cristiano Ronaldo,World Cup,6
Cristiano Ronaldo,Rooney,1
Cristiano Ronaldo,the 2006200607 season,1
Cristiano Ronaldo,20072008,1
Cristiano Ronaldo,quarter,1
Cristiano Ronaldo,200607,1
Cristiano Ronaldo,30th,1
Cristiano Ronaldo,60,3
Cristiano Ronaldo,Newcastle,2
Cristiano Ronaldo,12 January 2008,1
Cristiano Ronaldo,the 2007200708 season,1
Cristiano Ronaldo,Portsmouth,1
Cristiano Ronaldo,the start of the season,1
Cristiano Ronaldo,20082009,1
Cristiano Ronaldo,the 2008200809 season,1
Cristiano Ronaldo,7 July,1
Cristiano Ronaldo,Porto,1
Cristiano Ronaldo,FIFA,2
Cristiano Ronaldo,the year,1
Cristiano Ronaldo,Real Madrid Ahead of the 2009200910 season,1
Cristiano Ronaldo,80million,1
Cristiano Ronaldo,20092013,1
Cristiano Ronaldo,Deportivo La Corua,1
Cristiano Ronaldo,29 August,1
Cristiano Ronaldo,Ral,2
Cristiano Ronaldo,Madrid,14
Cristiano Ronaldo,the 2010201011 season,1
Cristiano Ronaldo,the following season,1
Cristiano Ronaldo,Real Madrid Squad Stats,1
Cristiano Ronaldo,Spanish,1
Cristiano Ronaldo,Primera,1
Cristiano Ronaldo,201112,1
Cristiano Ronaldo,7 September 2014,1
Cristiano Ronaldo,Messi,6
Cristiano Ronaldo,2011,1
Cristiano Ronaldo,Zaragoza,1
Cristiano Ronaldo,Rayo Vallecano,1
Cristiano Ronaldo,Mlaga,1
Cristiano Ronaldo,Osasuna,1
Cristiano Ronaldo,Sevilla,5
Cristiano Ronaldo,season,2
Cristiano Ronaldo,the 2012201213 season,1
Cristiano Ronaldo,2012,3
Cristiano Ronaldo,Supercopa de Espaa,2
Cristiano Ronaldo,Spain,4
Cristiano Ronaldo,the Spanish Super Cup,1
Cristiano Ronaldo,44,1
Cristiano Ronaldo,Barcelona,2
Cristiano Ronaldo,20132015,1
Cristiano Ronaldo,La Dcima,2
Cristiano Ronaldo,201213 winter,1
Cristiano Ronaldo,10,4
Cristiano Ronaldo,43,2
Cristiano Ronaldo,Sociedad,1
Cristiano Ronaldo,6 January,1
Cristiano Ronaldo,the 2013201314 season,1
Cristiano Ronaldo,three years to 2018,1
Cristiano Ronaldo,17million,1
Cristiano Ronaldo,tenth,1
Cristiano Ronaldo,30,5
Cristiano Ronaldo,Dortmund,1
Cristiano Ronaldo,100th,1
Cristiano Ronaldo,Champions League,2
Cristiano Ronaldo,the season,2
Cristiano Ronaldo,two years before,1
Cristiano Ronaldo,Atltico,1
Cristiano Ronaldo,the Vicente Caldern,1
Cristiano Ronaldo,the 201415 season,1
Cristiano Ronaldo,61,1
Cristiano Ronaldo,20,3
Cristiano Ronaldo,the UEFA Super Cup,1
Cristiano Ronaldo,Espanyol,2
Cristiano Ronaldo,Getafe,1
Cristiano Ronaldo,31,2
Cristiano Ronaldo,Di Stfano's,1
Cristiano Ronaldo,28,1
Cristiano Ronaldo,48,1
Cristiano Ronaldo,Pichichi,1
Cristiano Ronaldo,the European Golden Shoe,1
Cristiano Ronaldo,fourth,2
Cristiano Ronaldo,20152017,1
Cristiano Ronaldo,seventh,1
Cristiano Ronaldo,2015201516,2
Cristiano Ronaldo,12 September,1
Cristiano Ronaldo,230,1
Cristiano Ronaldo,203,1
Cristiano Ronaldo,71,2
Cristiano Ronaldo,Celta de Vigo,1
Cristiano Ronaldo,5 March 2016,1
Cristiano Ronaldo,252,1
Cristiano Ronaldo,the 2016201617 season,1
Cristiano Ronaldo,France,1
Cristiano Ronaldo,201617,1
Cristiano Ronaldo,Bayern,1
Cristiano Ronaldo,April,1
Cristiano Ronaldo,20172018,1
Cristiano Ronaldo,Fifth Ballon,1
Cristiano Ronaldo,fifth,2
Cristiano Ronaldo,the start of the 201718 season,1
Cristiano Ronaldo,the 80th minute,1
Cristiano Ronaldo,Camp Nou,1
Cristiano Ronaldo,two minutes later,1
Cristiano Ronaldo,3 April,1
Cristiano Ronaldo,201718,1
Cristiano Ronaldo,PlayStation,1
Cristiano Ronaldo,Andrea Barzagli,1
Cristiano Ronaldo,months,1
Cristiano Ronaldo,20182020,2
Cristiano Ronaldo,18 August,1
Cristiano Ronaldo,A.C.ChievoVerona,1
Cristiano Ronaldo,10 February,1
Cristiano Ronaldo,Sassuolo,1
Cristiano Ronaldo,ninth,1
Cristiano Ronaldo,Giuseppe Signori's,1
Cristiano Ronaldo,at least one,1
Cristiano Ronaldo,S.S.C.Napoli,1
Cristiano Ronaldo,31 August,1
Cristiano Ronaldo,22 June,1
Cristiano Ronaldo,Rui Costa,1
Cristiano Ronaldo,Serie,1
Cristiano Ronaldo,Capocannoniere,2
Cristiano Ronaldo,20 September 2020,1
Cristiano Ronaldo,Sampdoria,1
Cristiano Ronaldo,22 August,1
Cristiano Ronaldo,F.C.the new season,1
Cristiano Ronaldo,22,2
Cristiano Ronaldo,Udinese,1
Cristiano Ronaldo,VAR.Return,1
Cristiano Ronaldo,Manchester United20212022,1
Cristiano Ronaldo,27 August 2021,1
Cristiano Ronaldo,11 September,1
Cristiano Ronaldo,Old Trafford,1
