Title,Named-entity,Frequency
Ed Sheeran,Infobox,1
Ed Sheeran,MBE,1
Ed Sheeran,Ed Sheeran-6886,1
Ed Sheeran,cropped).jpg,1
Ed Sheeran,Sheeran,66
Ed Sheeran,Berlin,1
Ed Sheeran,2018,4
Ed Sheeran,Edward Christopher,2
Ed Sheeran,Thomas Mills High School,2
Ed Sheeran,Halifax,3
Ed Sheeran,West Yorkshire,3
Ed Sheeran,England,2
Ed Sheeran,Taylor Swift,2
Ed Sheeran,Benny Blanco,1
Ed Sheeran,Jake Gosling Fred,1
Ed Sheeran,Steve Mac,1
Ed Sheeran,Justin Bieber Eminem,1
Ed Sheeran,Yelawolf Stormzy,1
Ed Sheeran,Anne Marie,1
Ed Sheeran,Christopher Sheeran,1
Ed Sheeran,17 February 1991,2
Ed Sheeran,English,1
Ed Sheeran,Framlingham,6
Ed Sheeran,Suffolk,8
Ed Sheeran,the age of eleven,1
Ed Sheeran,early 2011,2
Ed Sheeran,Asylum Records,1
Ed Sheeran,the same year,2
Ed Sheeran,++,2
Ed Sheeran,September 2011,1
Ed Sheeran,the UK Albums Chart,1
Ed Sheeran,first,8
Ed Sheeran,The A Team,4
Ed Sheeran,2012,3
Ed Sheeran,the Brit Awards,1
Ed Sheeran,British,8
Ed Sheeran,second,5
Ed Sheeran,June 2014,1
Ed Sheeran,2015,7
Ed Sheeran,the Year,3
Ed Sheeran,"the British Academy of Songwriters, Composers",2
Ed Sheeran,Thinking Out Loud,4
Ed Sheeran,2016,2
Ed Sheeran,third,3
Ed Sheeran,March 2017,4
Ed Sheeran,2017,9
Ed Sheeran,two,7
Ed Sheeran,Shape of You,5
Ed Sheeran,Castle on the Hill,3
Ed Sheeran,US,4
Ed Sheeran,10,3
Ed Sheeran,the same week,1
Ed Sheeran,ten,1
Ed Sheeran,the UK Singles Chart,2
Ed Sheeran,UK,12
Ed Sheeran,one,8
Ed Sheeran,fourth,5
Ed Sheeran,Australia,3
Ed Sheeran,Christmas,3
Ed Sheeran,the Global Recording Artist of the Year,1
Ed Sheeran,2019,6
Ed Sheeran,number one,1
Ed Sheeran,three,1
Ed Sheeran,"Beautiful People"" and ""Take Me Back",1
Ed Sheeran,London,4
Ed Sheeran,fifth,3
Ed Sheeran,2021.Sheeran,1
Ed Sheeran,more than 150 million,2
Ed Sheeran,Spotify,4
Ed Sheeran,the decade,1
Ed Sheeran,August 2019,1
Ed Sheeran,the National Youth Theatre,1
Ed Sheeran,Yesterday,3
Ed Sheeran,Birchcliffe Road,1
Ed Sheeran,Hebden Bridge,3
Ed Sheeran,Ed Sheeran,9
Ed Sheeran,early childhood years,1
Ed Sheeran,Cartwright Hall,1
Ed Sheeran,Bradford,1
Ed Sheeran,Manchester City Art Gallery,1
Ed Sheeran,December 1995,1
Ed Sheeran,the age of four,1
Ed Sheeran,age eleven,1
Ed Sheeran,2004,2
Ed Sheeran,Career20042010,1
Ed Sheeran,Spinning Man,1
Ed Sheeran,2009,2
Ed Sheeran,Essex,1
Ed Sheeran,Leddra Chapman,1
Ed Sheeran,CeeLo Green's,1
Ed Sheeran,"Fuck You""",1
Ed Sheeran,February 2010,1
Ed Sheeran,Jamal Edwards,1
Ed Sheeran,the same month,1
Ed Sheeran,Loose Change EP,1
Ed Sheeran,30 November,1
Ed Sheeran,YouTube,1
Ed Sheeran,Independent,1
Ed Sheeran,Elton John,2
Ed Sheeran,8 January 2011,1
Ed Sheeran,Wiley,1
Ed Sheeran,Jme,1
Ed Sheeran,Devlin,1
Ed Sheeran,Ghetts,1
Ed Sheeran,Three months later,1
Ed Sheeran,Barfly,1
Ed Sheeran,Camden,1
Ed Sheeran,"Over 1,000",1
Ed Sheeran,four,2
Ed Sheeran,Later that month,1
Ed Sheeran,26 April 2011,1
Ed Sheeran,BBC,3
Ed Sheeran,Jools Holland,1
Ed Sheeran,Six weeks later,1
Ed Sheeran,12 September 2011,1
Ed Sheeran,Moments,1
Ed Sheeran,One,1
Ed Sheeran,November 2011,1
Ed Sheeran,March,1
Ed Sheeran,March to September 2013,1
Ed Sheeran,North America,2
Ed Sheeran,Swift,1
Ed Sheeran,The Red Tour,2
Ed Sheeran,24 March 2014,1
Ed Sheeran,the Teenage Cancer Trust charity,1
Ed Sheeran,the Royal Albert Hall,1
Ed Sheeran,Take It Back,1
Ed Sheeran,23 June 2014,1
Ed Sheeran,three years,1
Ed Sheeran,Don'Don't,1
Ed Sheeran,24 September 2014,1
Ed Sheeran,57th,1
