Title,Named-entity,Frequency
Germany,Germany,65
Germany,image_flag  Flag,1
Germany,Germany.svg,2
Germany,Europe,11
Germany,the European Union,4
Germany,Berlin,6
Germany,German,41
Germany,Walter Steinmeier,1
Germany,Olaf Scholz,2
Germany,Bundesrat,1
Germany,18 January 1871,1
Germany,9,1
Germany,November 1918,1
Germany,established_event3,1
Germany,Nazi,3
Germany,established_date3,1
Germany,March 1933,1
Germany,23,1
Germany,May 1949,1
Germany,October 1990,1
Germany,"357,022",1
Germany,63rd,1
Germany,"137,847",1
Germany,1.27,1
Germany,2015,1
Germany,"83,190,556",1
Germany,2020,2
Germany,232,1
Germany,601,1
Germany,population_density_rank,1
Germany,58th,1
Germany,5th,1
Germany,2021,2
Germany,"56,956",1
Germany,GDP_PPP_per_capita_rank,1
Germany,15th,1
Germany,$4.319 trillion,1
Germany,GDP_nominal_rank,1
Germany,4th GDP_nominal_year,1
Germany,"51,860",1
Germany,GDP_nominal_per_capita_rank,1
Germany,Gini,1
Germany,29.7,1
Germany,Gini_change,1
Germany,HDI,1
Germany,0.947,1
Germany,6th,1
Germany,today,1
Germany,drives_on  RightGermany,1
Germany,83 million,1
Germany,16,2
Germany,Denmark,2
Germany,Poland,1
Germany,the Czech Republic,1
Germany,Austria,6
Germany,Switzerland,2
Germany,France,3
Germany,Luxembourg,1
Germany,Belgium,1
Germany,Netherlands,1
Germany,Frankfurt,1
Germany,the Ruhr,1
Germany,Germanic,5
Germany,Germania,2
Germany,AD 100,1
Germany,the 10th century,1
Germany,the Holy Roman Empire,2
Germany,the 16th century,1
Germany,the Protestant Reformation,1
Germany,the Napoleonic Wars,1
Germany,1806,1
Germany,the German Confederation,2
Germany,1815,1
Germany,1871,2
Germany,Prussian,2
Germany,German Empire,1
Germany,World War I,1
Germany,the German Revolution of 19181919,1
Germany,Empire,1
Germany,Weimar Republic,2
Germany,1933,1
Germany,World War II,2
Germany,Holocaust,2
Germany,the end of,1
Germany,Allied,1
Germany,the Federal Republic of Germany,3
Germany,West Germany,6
Germany,the German Democratic Republic,2
Germany,East Germany,3
Germany,The Federal Republic of Germany,1
Germany,the European Economic Community,1
Germany,Eastern Bloc,2
Germany,the Warsaw Pact,2
Germany,East German,1
Germany,3 October,1
Germany,fourth,2
Germany,fifth,1
Germany,PPP,1
Germany,third,4
Germany,the Human Development Index,1
Germany,the United Nations,1
Germany,NATO,1
Germany,G7,1
Germany,G20,1
Germany,OECD,1
Germany,UNESCO World Heritage Sites,1
Germany,English,1
Germany,Latin,1
Germany,11 million years ago,1
Germany,two,1
Germany,Frankish Empire,1
Germany,the Nordic Bronze Age,1
Germany,the Pre-Roman Iron Age,1
Germany,Augustus,1
Germany,the Roman Empire,1
Germany,Roman province,1
Germany,Rhine,2
Germany,Elbe,2
Germany,9AD,1
Germany,three,2
Germany,Arminius,1
Germany,East Francia,1
Germany,Holy Roman Empire,1
Germany,the Carolingian Empire,1
Germany,800,1
Germany,11381254,1
Germany,Johannes Gutenberg,1
Germany,Westphalia,1
Germany,Imperial Estates,1
Germany,Roman Catholicism,1
Germany,the Reformation on the Holy Roman Empire,1
Germany,1740,1
Germany,Austrian,2
Germany,Habsburg,1
Germany,the Kingdom of Prussia,1
Germany,1772,1
Germany,1793,1
Germany,1795,1
Germany,Prussia,4
Germany,the Russian Empire,1
Germany,the Partitions of Poland,1
Germany,German Confederation,1
Germany,Napoleon,1
Germany,the Congress of Vienna,1
Germany,39,1
Germany,the Emperor of Austria,1
Germany,Congress,1
Germany,Klemens von Metternich,1
Germany,William I,1
Germany,William,1
Germany,Otto von Bismarck,1
Germany,1862,1
Germany,Bismarck,1
Germany,1864,1
Germany,Austro-Prussian War,1
Germany,1866,1
Germany,the North German Confederation,1
Germany,the Franco-Prussian War,1
Germany,the German Empire,1
Germany,the King of Prussia,1
Germany,Kaiser,1
Germany,the 20th century's,1
Germany,first,5
Germany,28 June 1914,1
Germany,Serbia,1
Germany,World War I.,1
Germany,four years,1
Germany,11 August 1919,1
Germany,Friedrich Ebert,1
Germany,Great Depression,1
Germany,1929,1
Germany,Heinrich Brning's,1
Germany,Weimar Republic#Brning's,1
Germany,nearly 30%,1
Germany,1932.In 1935,1
Germany,the Treaty of Versailles,1
Germany,the Nuremberg Laws,1
Germany,Jews,2
Germany,August 1939,1
Germany,Hitler,1
Germany,MolotovRibbentrop,1
Germany,Eastern Europe,1
Germany,Soviet,1
Germany,17 million,1
Germany,6million,1
Germany,"at least 130,000",1
Germany,Romani,1
Germany,"275,000",1
Germany,thousands,2
Germany,Jehovah's Witnesses,1
Germany,hundreds of thousands,1
Germany,East,3
Germany,Allies,1
Germany,four,1
Germany,the United Kingdom,1
Germany,the United States,2
Germany,23 May 1949,1
Germany,1948,1
Germany,the Marshall Plan,1
Germany,USSR,1
Germany,the late 1960s,1
Germany,Willy Brandt,1
Germany,Reunified Germany,1
Germany,the European Union United Germany,1
Germany,the Maastricht Treaty,1
Germany,1992,1
Germany,the Lisbon Treaty,1
Germany,"2007,In the 2005",1
Germany,Angela Merkel,1
Germany,2009,1
Germany,50billion,1
Germany,Geography Germany,1
Germany,seventh,1
Germany,Alps,2
Germany,Zugspitze,1
Germany,Danube,1
Germany,Winters,1
Germany,the Southern Alps,1
Germany,the North Sea,1
Germany,February 2019,1
Germany,monthly,1
Germany,five,1
Germany,Atlantic,1
Germany,Baltic,1
Germany,Central European,1
Germany,Western European,1
Germany,Central Europe,1
Germany,the National Forest Inventory,1
Germany,"beeches, oaks",1
Germany,just over 40%,1
Germany,roughly 60%,1
Germany,the Jasmund National Park,1
