Title,Named-entity,Frequency
India,India,99
India,image_flag              Flag,1
India,India.svg,2
India,24,2
India,image_coat              Emblem,1
India,New Delhi,2
India,Mumbai,3
India,Delhi,6
India,Assamese,1
India,Bengali,1
India,Boro Dogri,1
India,Gujarati Hindi,1
India,Kashmiri Kokborok,1
India,Konkani,1
India,Marathi Mizo,1
India,Nepali,1
India,Sanskrit,2
India,Santali Sindhi,1
India,Indian,29
India,Nath Kovind,1
India,leader_name2            Venkaiah Naidu,1
India,Narendra Modi,2
India,Birla,1
India,Lok Sabha,1
India,the United Kingdom,1
India,August 1947,1
India,26 January 1950,1
India,"3,287,263",1
India,7th,1
India,"1,269,346",1
India,"9.6 population_estimate      population_census       1,210,854,977",1
India,2nd population_census_year,1
India,2011,8
India,19th GDP_PPP                  ,1
India,3rd,2
India,GDP_PPP_per_capita_rank,1
India,128th,1
India,"2022 GDP_nominal_rank        6th GDP_nominal_per_capita   $2,342",1
India,GDP_nominal_per_capita_rank,1
India,35.7,1
India,HDI,1
India,0.645,1
India,HDI_ref                  ,1
India,DST,1
India,ubl,1
India,79.8%,1
India,Hinduism,2
India,14.2%,1
India,Islam,3
India,2.3%,1
India,Christianity,3
India,1.7%,1
India,0.7%,1
India,0.4%,1
India,0.23%,1
India,0.65%,1
India,today,2
India,China,2
India,Nepal,2
India,Bhutan,2
India,Bangladesh,2
India,Myanmar,2
India,the Indian Ocean,1
India,Sri Lanka,3
India,Maldives,2
India,Andaman,2
India,Nicobar Islands,1
India,Thailand,2
India,Indonesia,2
India,Africa,5
India,"55,000 years ago",2
India,first,8
India,the Arabian Peninsula,1
India,"as early as 80,000 years ago",1
India,"as late as 40,000 years ago",1
India,One,1
India,the Persian Gulf,1
India,Indian Ocean,1
India,"between 75,000 years ago",1
India,"35,000 years ago",1
India,second,6
India,Punjab,5
India,five,2
India,Himalayas,2
India,the millennia,1
India,Aryan,4
India,Ganga Rivers,1
India,Arya,1
India,Aryans,1
India,Vedas,1
India,Vedic Sanskrit,1
India,Vedic,2
India,around 1200 BCE,1
India,four,3
India,Sama,1
India,Yajur,1
India,Jainism,2
India,Maurya,1
India,Gupta Empires,1
India,Ganges,2
India,the early medieval era,1
India,Judaism,1
India,Zoroastrianism,1
India,Muslim,4
India,Central Asia,1
India,the 15th century,1
India,the Vijayanagara Empire,1
India,Hindu,2
India,Sikhism,2
India,The Mughal Empire,1
India,1526,1
India,two centuries,1
India,the British East India Company,1
India,sovereignty.(a,1
India,N.last3first3titleSources of Indian Tradition,1
India,British,2
India,1950,2
India,361 million,1
India,1951,2
India,1.211billion,1
India,64,1
India,"1,498",1
India,16.6% to 74%,1
India,"1951,India",1
India,Kashmir,1
India,Pakistan,4
India,the mid-20th century.(a,1
India,Oxford,1
India,third,3
India,2009,2
India,South Asia,2
India,Hellenistic Greek India,1
India,Greek Indos,1
India,Persian,2
India,Achaemenid,1
India,the Sanskrit Sindhu,1
India,the Indus River,1
India,Bharat,1
India,"about 30,000 years ago",1
India,around the 6th century,1
India,BCE,2
India,the Ganges Plain,1
India,16,1
India,Sangam,1
India,Tamil,2
India,Gopuram Corner View,1
India,Brihadeshwara,1
India,Thanjavur,1
India,The Qutub Minar,1
India,the Sultan of Delhi,1
India,the 6th and 7th centuries,1
India,the 10th century,1
India,Central Asian,1
India,South Asia's,1
India,Islamic,1
India,1206,1
India,the early 16th century,1
India,Agra,1
India,the Taj Mahal,2
India,1835 2,1
India,two,6
India,1835,1
India,William IV,1
India,the early 18th century,1
India,European,1
India,the English East India Company,1
India,Modern India,1
India,between 1848 and 1885,1
India,1848,1
India,James Broun-Ramsay,1
India,Dalhousie,1
India,the East India Company,1
India,Europe,1
India,the second half of the 19th century,1
India,Gazetteer,1
India,India.jpg,3
India,1909,1
India,the British Indian Empireimage2Nehru,1
India,Nehru,4
India,Mohandas Karamchand Gandhi,1
India,6 July 1946After,1
India,World War I,1
India,approximately one million,1
India,Indians,1
India,Vital to India's,1
India,Geography India,1
India,Indus,2
India,Rann,1
India,Kutch,1
India,Himalayan,2
India,the Thar Desert,2
India,Aravalli Mountains,1
India,Gangetic,1
India,Aravalli,1
India,the Jumna river,1
India,Anjarle,1
India,Anjarle village,1
India,Maharashtra,1
India,Indian Plate,1
India,Satpura,1
India,Vindhya,1
India,Arabian Sea,1
India,Gujarat,4
India,Chota Nagpur Plateau,1
India,Jharkhand,1
India,Brahmaputra,1
India,the Bay of,1
India,Bengal,2
India,winter,1
India,Biodiversity India,1
India,17,1
India,Azadirachta,1
India,Gondwana,1
India,more than 100 million years ago,1
India,172,1
India,2.9%,1
India,1,5
India,220,4
India,"25,000",2
India,2007,2
India,Madhya Pradesh,2
India,Rajagopal P. V.,1
India,the Republic of India's,1
India,three,3
India,"1951, 1957",1
India,1962,1
India,the Jawaharlal Nehru,1
India,Congress,5
India,1964,2
India,Lal Bahadur Shastri,1
India,1966,1
India,Indira Gandhi,2
India,1967,1
India,1971,1
India,1975,1
India,1977,1
India,Janata Party,1
India,just over two years,1
India,1980,1
India,1984,1
India,Rajiv Gandhi,1
India,later that year,1
India,1989,2
India,National Front,1
India,Janata Dal,1
India,the Left Front,1
India,just under two years,1
India,two-year,1
India,1996,3
India,BJP,2
India,United Front,1
India,1998,1
India,the National Democratic Alliance,1
India,NDA,2
India,Atal Bihari Vajpayee,1
India,non-Congress,1
India,five-year,1
India,Government India,1
India,the Constitution of Indiathe country's,1
India,The Constitution of India,1
India,26 January,1
India,Tricolour,1
India,Sarnath Lion Capital,1
India,Lotus,1
India,Legislature,1
India,Westminster,1
India,the Rajya Sabha,1
India,the Lok Sabha,1
India,House of the People,1
India,Administrative,1
India,28,1
India,8,1
India,1columns,1
India,Karnataka,2
India,Madhya,1
India,Meghalaya,1
India,Mizoram,1
India,Nicobar Islands Chandigarh Dadra,1
India,Nagar Haveli,1
India,Daman,1
India,Diu Jammu,1
India,Kashmir Ladakh Lakshadweep National Capital Territory of,1
India,Nasser,1
India,Tito,1
India,the Conference of Non-Aligned Nations,1
India,the Non-Aligned Movement,1
India,Gamal Abdel Nasser,1
India,United Arab Republic,1
India,Egypt,1
India,Josip Broz Tito,1
India,Yugoslavia,1
India,Jawaharlal Nehru,1
India,Belgrade,1
India,September 1961.In the 1950s,1
India,Asia,2
India,Indiaspecial,1
India,Russia,1
India,Indian Air Force,1
India,the Bastille Day Parade,1
India,France,1
India,Paris,2
India,July 14,1
India,the 221st Bastille Day,1
India,14 July 2009,1
India,the Maratha Light Infantry,1
India,1768.China,1
India,1965,1
India,the Cold War,1
India,the IndiaEuropean Union.perrowtotal_width220image_style,1
India,June,1
India,2016.caption1Prime,1
India,Enrique Pea Nieto,1
India,Mexico,2
India,2016The,1
India,1.45million,1
India,the Indian Army,1
India,the Indian Navy,1
India,the Indian Air Force,1
India,the Indian Coast Guard,1
India,2019,2
India,43%,1
India,Junagadh,1
India,55%,1
India,Stevie Mann - Villager,1
