Title,Named-entity,Frequency
Lionel Messi,Infobox,1
Lionel Messi,Lionel Messi,3
Lionel Messi,Messi,139
Lionel Messi,Argentina,39
Lionel Messi,World Cup,5
Lionel Messi,Lionel Andrs Messi,2
Lionel Messi,Rosario,11
Lionel Messi,Santa Fe,2
Lionel Messi,1.69,1
Lionel Messi,Paris Saint-Germain,7
Lionel Messi,F.C.Paris Saint-Germain,4
Lionel Messi,30,4
Lionel Messi,Grandoli youthyears2,1
Lionel Messi,19952000,1
Lionel Messi,youthclubs2,1
Lionel Messi,Newell's Old Boys,4
Lionel Messi,20002003,1
Lionel Messi,20032004,1
Lionel Messi,10,9
Lionel Messi,5,2
Lionel Messi,22,4
Lionel Messi,goals2,1
Lionel Messi,6,2
Lionel Messi,20042021,1
Lionel Messi,Barcelona,46
Lionel Messi,520,1
Lionel Messi,474,2
Lionel Messi,2021,11
Lionel Messi,goals4,1
Lionel Messi,4,1
Lionel Messi,20042005,1
Lionel Messi,18,3
Lionel Messi,14,3
Lionel Messi,U23,1
Lionel Messi,2,1
Lionel Messi,2005,2
Lionel Messi,160,1
Lionel Messi,nationalgoals3,1
Lionel Messi,81,2
Lionel Messi,23 April 2022,2
Lionel Messi,UTC,2
Lionel Messi,30 March 2022,1
Lionel Messi,six,5
Lionel Messi,European Golden Shoes,1
Lionel Messi,2020,2
Lionel Messi,Ballon,6
Lionel Messi,35,1
Lionel Messi,ten,2
Lionel Messi,La Liga,20
Lionel Messi,seven,1
Lionel Messi,Copa del Rey,1
Lionel Messi,four,11
Lionel Messi,UEFA Champions Leagues,1
Lionel Messi,European,3
Lionel Messi,50,4
Lionel Messi,36,1
Lionel Messi,192,1
Lionel Messi,21,4
Lionel Messi,the Copa Amrica,2
Lionel Messi,17,3
Lionel Messi,South American,2
Lionel Messi,750,1
Lionel Messi,Spain,5
Lionel Messi,age 13,2
Lionel Messi,October 2004,1
Lionel Messi,the next three years,1
Lionel Messi,his first uninterrupted season,1
Lionel Messi,2008200809,3
Lionel Messi,first,32
Lionel Messi,Spanish,4
Lionel Messi,that year,1
Lionel Messi,2009,6
Lionel Messi,Three,1
Lionel Messi,seasons,1
Lionel Messi,Ballons d'Or,1
Lionel Messi,the 2011201112 season,1
Lionel Messi,the La Liga,2
Lionel Messi,a single season,1
Lionel Messi,two seasons,1
Lionel Messi,second,9
Lionel Messi,Messicareer,1
Lionel Messi,2014201415,5
Lionel Messi,fifth,4
Lionel Messi,2015,10
Lionel Messi,FIFA Ballon,6
Lionel Messi,2018,5
Lionel Messi,2019,4
Lionel Messi,Ballon d'sixth Ballon,1
Lionel Messi,August,1
Lionel Messi,2021.An,1
Lionel Messi,Argentine,9
Lionel Messi,FIFA World Youth Championship,2
Lionel Messi,the FIFA U-Golden Ball,1
Lionel Messi,Golden Shoe,1
