Title,Named-entity,Frequency
Microsoft,Infobox,1
Microsoft,Microsoft Corporation,3
Microsoft,Microsoft,99
Microsoft,250px,1
Microsoft,A square,1
Microsoft,four,2
Microsoft,2012,3
Microsoft,260px image_caption,1
Microsoft,Redmond,4
Microsoft,traded_as,1
Microsoft,ISIN,1
Microsoft,US5949181045,1
Microsoft,Unbulleted,2
Microsoft,Bill Gates,6
Microsoft,One,4
Microsoft,WayRedmond,1
Microsoft,Washington,3
Microsoft,U.S.,7
Microsoft,Azure Bing,1
Microsoft,MSDN Microsoft,1
Microsoft,OneDrive,1
Microsoft,TechNet,1
Microsoft,2021,6
Microsoft,LinkedIn Skype Technologies,1
Microsoft,RiskIQ Nuance Communications,1
Microsoft,American,4
Microsoft,Microsoft Office,2
Microsoft,Edge,1
Microsoft,Xbox,4
Microsoft,21,2
Microsoft,2020,2
Microsoft,500,1
Microsoft,United States,3
Microsoft,Five,1
Microsoft,Google,2
Microsoft,Amazon,1
Microsoft,Apple Inc.Apple,3
Microsoft,Meta,1
Microsoft,Bing,1
Microsoft,MSN,1
Microsoft,Azure,1
Microsoft,Ballmer,1
Microsoft,2000,1
Microsoft,Apple,1
Microsoft,2010,2
Microsoft,2018,1
Microsoft,19721985,1
Microsoft,Paul Allen,2
Microsoft,Bellevue,1
Microsoft,January 1979.Microsoft,1
Microsoft,1980,2
Microsoft,Xenix,1
Microsoft,1983,2
Microsoft,Hodgkin'Hodgkin,1
Microsoft,19851994,1
Microsoft,Microsoft Windows,1
Microsoft,"November 20, 1985",1
Microsoft,1990,1
Microsoft,Microsoft Excel,1
Microsoft,"July 27, 1994",1
Microsoft,the Department of Justice's,1
Microsoft,Antitrust Division,1
Microsoft,1988,2
Microsoft,"July 15, 1994",1
Microsoft,OEM,2
Microsoft,19952007,1
Microsoft,Bill Gates',1
Microsoft,"May 26, 1995",1
Microsoft,the World Wide Web,1
Microsoft,"January 13, 2000",1
Microsoft,Steve Ballmer,3
Microsoft,2006,2
Microsoft,the Zune series,1
Microsoft,Portable Media Center,1
Microsoft,Microsoft Mouse,1
Microsoft,2007,2
Microsoft,IntelliMouse,1
Microsoft,LifeCam,1
Microsoft,the United States,2
Microsoft,That year,1
Microsoft,PixelSense,1
Microsoft,20072011,1
Microsoft,Microsoft Azure,1
Microsoft,Windows Vista,1
Microsoft,Microsoft Stores Released,1
Microsoft,January 2007,1
Microsoft,Windows,1
Microsoft,Vista,1
Microsoft,Aero,1
Microsoft,"June 27, 2008",1
Microsoft,June 2006,1
Microsoft,the late 2000s,1
Microsoft,Android,1
Microsoft,20112014,1
Microsoft,Xbox One,1
