Title,Named-entity,Frequency
Selena Gomez,Infobox,1
Selena Gomez,Selena Gomez,9
Selena Gomez,Gomez,51
Selena Gomez,2021,2
Selena Gomez,Selena Marie Gomez,2
Selena Gomez,Texas,2
Selena Gomez,U.S.,2
Selena Gomez,"July 22, 1992",2
Selena Gomez,American,1
Selena Gomez,Barney & Friends,1
Selena Gomez,20022004,1
Selena Gomez,Alex Russo,2
Selena Gomez,Disney Channel,2
Selena Gomez,Wizards of Waverly Place,4
Selena Gomez,20072012).Alongside,1
Selena Gomez,Another Cinderella Story,2
Selena Gomez,2008,2
Selena Gomez,Princess Protection Program,2
Selena Gomez,2009,8
Selena Gomez,Ramona,2
Selena Gomez,2010,5
Selena Gomez,Monte Carlo,2
Selena Gomez,2011,4
Selena Gomez,Spring Breakers,2
Selena Gomez,2012,3
Selena Gomez,2013,5
Selena Gomez,2016,4
Selena Gomez,2019,6
Selena Gomez,A Rainy Day,2
Selena Gomez,New York,2
Selena Gomez,Mavis,1
Selena Gomez,Hotel,1
Selena Gomez,20122022,1
Selena Gomez,Netflix,1
Selena Gomez,13,3
Selena Gomez,20172020,2
Selena Gomez,July Moonhead Productions,1
Selena Gomez,Max,1
Selena Gomez,2020present,2
Selena Gomez,Only Murders in the Building,1
Selena Gomez,11th,1
Selena Gomez,three,2
Selena Gomez,ten,2
Selena Gomez,the Recording Industry Association of America,1
Selena Gomez,Kiss & Tell,2
Selena Gomez,Selena Gomez &Kiss & Tell,2
Selena Gomez,A Year Without Rain,3
Selena Gomez,the Sun Goes Down,4
Selena Gomez,Selena Gomez &,2
Selena Gomez,2015,2
Selena Gomez,2020)each,1
Selena Gomez,Billboard,1
Selena Gomez,US,1
Selena Gomez,100,1
Selena Gomez,Come &Come & Get,1
Selena Gomez,The Heart Wants What It Wants,2
Selena Gomez,Same Old Love,1
Selena Gomez,Don'We,1
Selena Gomez,It Ain't Me,1
Selena Gomez,first,4
Selena Gomez,one,4
Selena Gomez,Lose You to Love Me,2
Selena Gomez,Marie Gomez,1
Selena Gomez,Grand Prairie,1
Selena Gomez,16 years old,1
Selena Gomez,Breakthrough,1
Selena Gomez,Disney,2
Selena Gomez,SceneGomez,1
Selena Gomez,Hannah,1
Selena Gomez,Montana,1
Selena Gomez,2007,2
Selena Gomez,the second season,1
Selena Gomez,the Disney Channel special Studio DC,1
Selena Gomez,age 16,1
Selena Gomez,Hollywood Records,2
Selena Gomez,Cyrus,1
Selena Gomez,Lovato,1
Selena Gomez,Thirteen,1
Selena Gomez,the following year,1
Selena Gomez,the Disney Channel,1
Selena Gomez,The Suite Life on Deck,1
Selena Gomez,second,4
Selena Gomez,same year,1
Selena Gomez,Grace,1
Selena Gomez,January 2012,1
Selena Gomez,October 2012,1
Selena Gomez,Stars Dance Tour,2
Selena Gomez,August 14,1
Selena Gomez,2013.In April of that year,1
Selena Gomez,I Want You to Know,1
Selena Gomez,February 23,1
Selena Gomez,2015.Gomez,2
Selena Gomez,Revival,1
Selena Gomez,October 9,1
Selena Gomez,May 6.Following,1
Selena Gomez,Standalone,1
Selena Gomez,"February 4, 2017",1
Selena Gomez,Instagram,4
Selena Gomez,Thirteen Reasons Why,1
Selena Gomez,May 5,1
Selena Gomez,May 18,1
Selena Gomez,"May 10, 2018",1
Selena Gomez,Season 2 Soundtrack,1
Selena Gomez,"Back to You"".2020present",1
Selena Gomez,"October 23, 2019",1
Selena Gomez,third,1
Selena Gomez,Rare,1
Selena Gomez,June,1
Selena Gomez,Trevor Daniel's,1
Selena Gomez,"Past Life""",1
Selena Gomez,November 2020,1
Selena Gomez,Elgin,1
Selena Gomez,In the Shadow of the Mountain,1
Selena Gomez,Silvia Vasquez-Lavado,1
Selena Gomez,Colombian,1
Selena Gomez,Camilo,1
Selena Gomez,999,1
Selena Gomez,August 27,1
Selena Gomez,Bruno Mars,1
Selena Gomez,Sears,1
Selena Gomez,2014,2
Selena Gomez,Kmart,1
Selena Gomez,Dream Out Loud by,1
Selena Gomez,2013 to 2015,1
Selena Gomez,Neo,1
Selena Gomez,Adidas,1
Selena Gomez,2017,1
Selena Gomez,Coach,2
Selena Gomez,September 2020,1
Selena Gomez,"Rare Beauty""",1
Selena Gomez,October 2008,1
Selena Gomez,St. Jude's,1
Selena Gomez,Children's Hospital's,1
Selena Gomez,Runway For Life,1
Selena Gomez,"25,000",1
Selena Gomez,"25,000 to zero",1
Selena Gomez,UNICEF,5
Selena Gomez,zero,1
Selena Gomez,the second year in a row,1
Selena Gomez,60th,1
Selena Gomez,2010.In February 2011,1
Selena Gomez,Chile,1
Selena Gomez,Programa Puente,1
Selena Gomez,Chilean,1
Selena Gomez,about 2008,1
Selena Gomez,Barack Obama,1
Selena Gomez,John McCain,1
Selena Gomez,DoSomething.org,1
Selena Gomez,Puerto Rico,1
Selena Gomez,Disney's Friends for Change,1
Selena Gomez,the Billboard Hot 100,1
Selena Gomez,April 2012,1
Selena Gomez,the Ryan Seacrest Foundation,1
Selena Gomez,California,1
Selena Gomez,Los Angeles,2
Selena Gomez,2018,2
Selena Gomez,Nellie Mainor,1
Selena Gomez,WE Charity,1
Selena Gomez,Kenya,1
Selena Gomez,December 2019,1
Selena Gomez,# # # Gomez,1
Selena Gomez,2020,1
