Title,Named-entity,Frequency
Shawn Mendes,Infobox,1
Shawn Mendes,Shawn Mendes,8
Shawn Mendes,Canadian,3
Shawn Mendes,Mendes,53
Shawn Mendes,2020,3
Shawn Mendes,Shawn Peter Raul Mendes,3
Shawn Mendes,Pickering,2
Shawn Mendes,Ontario,2
Shawn Mendes,Canada,3
Shawn Mendes,Teddy Geiger,2
Shawn Mendes,"August 8, 1998",1
Shawn Mendes,2013,1
Shawn Mendes,Vine,1
Shawn Mendes,The following year,1
Shawn Mendes,Andrew Gertler,2
Shawn Mendes,Island Records,2
Shawn Mendes,Ziggy Chareton,1
Shawn Mendes,2014,5
Shawn Mendes,2015,4
Shawn Mendes,one,6
Shawn Mendes,five,2
Shawn Mendes,the age of 18,1
Shawn Mendes,number one,3
Shawn Mendes,UK,1
Shawn Mendes,10,3
Shawn Mendes,US,3
Shawn Mendes,second,3
Shawn Mendes,Illuminate,1
Shawn Mendes,2016,5
Shawn Mendes,Treat You Better,2
Shawn Mendes,'s Nothing Holdin' Me Back,1
Shawn Mendes,third,4
Shawn Mendes,2018,6
Shawn Mendes,three,4
Shawn Mendes,2019,2
Shawn Mendes,Can'If,2
Shawn Mendes,the US,1
Shawn Mendes,100,4
Shawn Mendes,fourth,2
Shawn Mendes,Billboard,2
Shawn Mendes,200,2
Shawn Mendes,four,1
Shawn Mendes,13,1
Shawn Mendes,MTV,2
Shawn Mendes,eight,3
Shawn Mendes,Juno Awards,1
Shawn Mendes,two,2
Shawn Mendes,American Music Awards,2
Shawn Mendes,a Grammy Award,1
Shawn Mendes,Time,2
Shawn Mendes,annual,1
Shawn Mendes,Karen Mendes,1
Shawn Mendes,Manuel Mendes,1
Shawn Mendes,Toronto,1
Shawn Mendes,Algarve,1
Shawn Mendes,Portugal,1
Shawn Mendes,Pine Ridge Secondary School,1
Shawn Mendes,June 2016,1
Shawn Mendes,20132015,1
Shawn Mendes,YouTube,3
Shawn Mendes,the age of 14 in 2012,1
Shawn Mendes,November 2013,1
Shawn Mendes,January 2014,1
Shawn Mendes,April,1
Shawn Mendes,Ryan Seacrest's,1
Shawn Mendes,Best Cover Song,1
Shawn Mendes,A Great Big World,1
Shawn Mendes,Island,1
Shawn Mendes,May 2014.He,1
Shawn Mendes,first,2
Shawn Mendes,Party,1
Shawn Mendes,June 26,1
Shawn Mendes,"April 14, 2015",1
Shawn Mendes,"119,000",1
Shawn Mendes,"106,000",1
Shawn Mendes,its first week,1
Shawn Mendes,Time 20162017:,1
Shawn Mendes,"January 21, 2016",1
Shawn Mendes,CW,1
Shawn Mendes,third-season,1
Shawn Mendes,June,1
Shawn Mendes,April 2017,1
Shawn Mendes,Illuminate World Tour,2
Shawn Mendes,Los Angeles',1
Shawn Mendes,Staples Center,1
Shawn Mendes,London,1
Shawn Mendes,The O2 Arena,1
Shawn Mendes,more than 50 years ago,1
Shawn Mendes,30,1
Shawn Mendes,Most Influential Teens,1
Shawn Mendes,"March 22, 2018",1
Shawn Mendes,Casey Neistat,1
Shawn Mendes,Neistat,1
Shawn Mendes,Japan,1
Shawn Mendes,Russian,1
Shawn Mendes,DJ Zedd,1
Shawn Mendes,September 27.Mendes,1
Shawn Mendes,Zac Brown Band,3
Shawn Mendes,American,1
Shawn Mendes,CMT Crossroads,1
Shawn Mendes,October 24,1
Shawn Mendes,a month,1
Shawn Mendes,nine,1
Shawn Mendes,Michael Jackson's,1
Shawn Mendes,Man in the Mirror,1
Shawn Mendes,November 1,1
Shawn Mendes,the 2018 Victoria's,1
Shawn Mendes,New York City,2
Shawn Mendes,November,1
Shawn Mendes,December,1
Shawn Mendes,"May 3, 2019",1
Shawn Mendes,2020present,1
Shawn Mendes,"September 30, 2020",1
Shawn Mendes,December 4,1
Shawn Mendes,October,1
Shawn Mendes,2.On,1
Shawn Mendes,"November 16, 2020",1
Shawn Mendes,Justin Bieber,1
Shawn Mendes,"Monster""",1
Shawn Mendes,"August 20, 2021",1
Shawn Mendes,Summer of Love,1
Shawn Mendes,Tainy,1
Shawn Mendes,"September 23, 2021",1
Shawn Mendes,Wonder: The World Tour,1
Shawn Mendes,North America,3
Shawn Mendes,the United Kingdom,1
Shawn Mendes,Europe,1
Shawn Mendes,64,1
Shawn Mendes,"March 14, 2022",1
Shawn Mendes,the Royal Arena,1
Shawn Mendes,Copenhagen,1
Shawn Mendes,"November 30, 2021",1
Shawn Mendes,December 1,1
Shawn Mendes,Wilhelmina Models,1
Shawn Mendes,June 2017,1
Shawn Mendes,Emporio Armani Spring 2018,1
Shawn Mendes,Milan,1
Shawn Mendes,Italy,1
Shawn Mendes,"June 6, 2018",1
Shawn Mendes,Emporio Armani's,1
Shawn Mendes,Fall Winter 2018-2019,1
Shawn Mendes,July 2018,1
Shawn Mendes,EA Connected,1
Shawn Mendes,"February 16, 2019",1
Shawn Mendes,Calvin Klein's,1
Shawn Mendes,August 2019,2
Shawn Mendes,Tim Hortons,1
Shawn Mendes,Philanthropy,1
Shawn Mendes,DoSomething.org,1
Shawn Mendes,Notes from Shawn,1
Shawn Mendes,Life of the Party,1
Shawn Mendes,"25,000",1
Shawn Mendes,Ghana,1
Shawn Mendes,September 2017,1
Shawn Mendes,Mexico City,1
Shawn Mendes,the Mexico Earthquake Relief Fund,1
Shawn Mendes,the American Red Cross,1
Shawn Mendes,"100,000",1
Shawn Mendes,Omaze,1
Shawn Mendes,September 2018,1
Shawn Mendes,Global Citizen,1
Shawn Mendes,Central Park,1
Shawn Mendes,October 2018,1
Shawn Mendes,Under Pressure,1
Shawn Mendes,British,1
Shawn Mendes,Queen,1
Shawn Mendes,David Bowie,1
Shawn Mendes,"October 20, 2018",1
Shawn Mendes,Khalid,1
Shawn Mendes,NF,1
Shawn Mendes,Marshmello,1
Shawn Mendes,Meghan Trainor,1
Shawn Mendes,Ella Mai,1
Shawn Mendes,The Hollywood Bowl,1
Shawn Mendes,Los Angeles,1
Shawn Mendes,We Can Survive,1
Shawn Mendes,Young Survival Coalition,1
Shawn Mendes,the Shawn Mendes Foundation,1
Shawn Mendes,today,1
Shawn Mendes,March 2020,1
Shawn Mendes,iHeart Media's,1
Shawn Mendes,America,1
Shawn Mendes,"April 22, 2021",1
Shawn Mendes,NASA,1
Shawn Mendes,Expedition 65,1
Shawn Mendes,the International Space Station,1
Shawn Mendes,Q&A,1
Shawn Mendes,Earth Day,1
Shawn Mendes,Earth,1
Shawn Mendes,May 2021,1
Shawn Mendes,Cabello,1
Shawn Mendes,India,2
Shawn Mendes,"50,000",1
Shawn Mendes,In My Blood,1
Shawn Mendes,First,1
Shawn Mendes,Second,1
Shawn Mendes,Cuban-American,1
Shawn Mendes,Camila Cabello,1
Shawn Mendes,July 2019,1
Shawn Mendes,18,1
Shawn Mendes,twelve Juno Awards,1
Shawn Mendes,eleven,1
Shawn Mendes,EMA,1
Shawn Mendes,MMVA,1
Shawn Mendes,MTV Video Music Awards,1
Shawn Mendes,Walk of Fame,1
Shawn Mendes,Filmography Film,1
Shawn Mendes,"0;""+Film",1
Shawn Mendes,Jake,1
Shawn Mendes,English,1
Shawn Mendes,Netflix,1
Shawn Mendes,Lyle,4
Shawn Mendes,Crocodile,1
Shawn Mendes,"center;""- class""wikitable""+Key",1
Shawn Mendes,Wanheda: Part,1
Shawn Mendes,Saturday,2
Shawn Mendes,Emma Stone/Shawn,1
Shawn Mendes,The Voice Himself/Advisor Season 14,1
Shawn Mendes,Alicia Keys',1
Shawn Mendes,Odell Beckham Jr.,1
Shawn Mendes,Molly Ringwald,1
Shawn Mendes,Jon,1
Shawn Mendes,Zac Brown,1
Shawn Mendes,Night,1
Shawn Mendes,Adam Sandler,1
Shawn Mendes,Tours,1
Shawn Mendes,Shawn,1
Shawn Mendes,First Headlines,1
Shawn Mendes,20142015,1
Shawn Mendes,Shawn Mendes World Tour,1
Shawn Mendes,2017,1
Shawn Mendes,2022-2023,1
Shawn Mendes,Jingle Ball Tour,3
Shawn Mendes,Austin Mahone,2
Shawn Mendes,1989,1
Shawn Mendes,World Tour,1
Shawn Mendes,Taylor Swift,1
Shawn Mendes,Shawn MendesnnoqShawn Mendessnoauthornobnovno,1
Shawn Mendes,Shawn Mendeslist,1
