Title,Named-entity,Frequency
Sundar Pichai,Infobox,1
Sundar Pichai,2020,3
Sundar Pichai,Pichai Sundararajan,1
Sundar Pichai,Madurai,2
Sundar Pichai,Tamil Nadu,2
Sundar Pichai,India,3
Sundar Pichai,IIT Kharagpur,2
Sundar Pichai,BTech)Stanford University,1
Sundar Pichai,Alphabet Inc.,3
Sundar Pichai,"June 10, 1972",1
Sundar Pichai,Google,9
Sundar Pichai,the United States,1
Sundar Pichai,M.S.,1
Sundar Pichai,Stanford University,1
Sundar Pichai,the Wharton School of the University of Pennsylvania,1
Sundar Pichai,a Palmer Scholar,1
Sundar Pichai,McKinsey & Co.,1
Sundar Pichai,2004,1
Sundar Pichai,Google Chrome,1
Sundar Pichai,Google Drive,1
Sundar Pichai,Gmail,1
Sundar Pichai,2010,1
Sundar Pichai,Chromebook,1
Sundar Pichai,2012,1
Sundar Pichai,2013,1
Sundar Pichai,Android,3
Sundar Pichai,"August 10, 2015",1
Sundar Pichai,Larry Page,1
Sundar Pichai,"October 24, 2015",1
Sundar Pichai,the Alphabet Board of Directors,1
Sundar Pichai,2017.Pichai,1
Sundar Pichai,Time Early,1
Sundar Pichai,Madras,1
Sundar Pichai,Chennai,1
Sundar Pichai,Jawahar Vidyalaya,1
Sundar Pichai,Secondary School Career Pichai,1
Sundar Pichai,Applied Materials,1
Sundar Pichai,McKinsey & Company,1
Sundar Pichai,"March 13, 2013",1
Sundar Pichai,Andy Rubin,1
Sundar Pichai,Microsoft,1
Sundar Pichai,2014,1
Sundar Pichai,Satya Nadella,1
Sundar Pichai,April 11,1
Sundar Pichai,August 2017,1
Sundar Pichai,ten,1
Sundar Pichai,December 2017,1
Sundar Pichai,the World Internet Conference,1
Sundar Pichai,China,4
Sundar Pichai,Chinese,1
Sundar Pichai,December 2019,1
Sundar Pichai,Alphabet Inc.Alphabet Inc.,1
Sundar Pichai,December 2020,1
Sundar Pichai,the Singapore FinTech Festival,1
Sundar Pichai,years,1
Sundar Pichai,Southeast Asia's,1
Sundar Pichai,more than 40 million,1
Sundar Pichai,first,1
Sundar Pichai,four,1
Sundar Pichai,as many as,1
Sundar Pichai,the year before,1
Sundar Pichai,Covid,1
Sundar Pichai,some 1.7 billion,1
Sundar Pichai,African,1
Sundar Pichai,millions,1
Sundar Pichai,post-Covid,1
Sundar Pichai,May 2021,1
Sundar Pichai,Marques Brownlee,1
Sundar Pichai,MKBHD,1
Sundar Pichai,U.S. Congressional,1
Sundar Pichai,"December 11, 2018",1
Sundar Pichai,Sundar Pichai,1
Sundar Pichai,the U.S. House Judiciary Committee,1
Sundar Pichai,October 2020,1
Sundar Pichai,United States,1
Sundar Pichai,"Senate Committee on Commerce, Science",1
Sundar Pichai,Transportation,1
Sundar Pichai,Facebook,1
Sundar Pichai,Twitter,1
Sundar Pichai,Section 230 of the Communications Decency Act,1
Sundar Pichai,1934,1
Sundar Pichai,2022,1
Sundar Pichai,the Government of India,1
Sundar Pichai,third,1
Sundar Pichai,Anjali Pichai,1
Sundar Pichai,two,1
Sundar Pichai,Sundar Pichai's,1
Sundar Pichai,90 seconds,1
Sundar Pichai,Tech Gurus,1
