Title,Named-entity,Frequency
United States of America,United States of America,3
United States of America,the United States,51
United States of America,Pantone).svg,1
United States of America,United States.svg,1
United States of America,United,1
United States of America,mottos,1
United States of America,center;line-height:1.15em;liststyletext-,1
United States of America,The Star-Spangled,1
United States of America,Washington,7
United States of America,D.C.,4
United States of America,New York City,6
United States of America,English,8
United States of America,61.6%,1
United States of America,12.4%,1
United States of America,6.0%,1
United States of America,1.1%,1
United States of America,0.2%,1
United States of America,10.2%,1
United States of America,8.5%,1
United States of America,Hispanic,2
United States of America,Latino,2
United States of America,81.3%,1
United States of America,Latino 18.7%,1
United States of America,2020,7
United States of America,American,41
United States of America,Joe Biden,3
United States of America,leader_name2            Kamala Harris,1
United States of America,House,5
United States of America,John Roberts,1
United States of America,Congress,5
United States of America,Senate,12
United States of America,House of Representatives,2
United States of America,Great Britain,2
United States of America,"July 4,",1
United States of America,"March 1, 1781",1
United States of America,"September 3, 1783",1
United States of America,"established_event4      Constitution established_date4       June 21, 1788",1
United States of America,"August 21, 1959",1
United States of America,3rd/4th,1
United States of America,"3,796,742",1
United States of America,4.66,1
United States of America,"April 1, 2020",1
United States of America,population_census_year,1
United States of America,"331,893,745",1
United States of America,2021,2
United States of America,3rd,1
United States of America,87,1
United States of America,population_density_rank,1
United States of America,185th,1
United States of America,2022 GDP_PPP_rank                2nd GDP_PPP_per_capita       ,1
United States of America,"76,027",1
United States of America,GDP_PPP_per_capita_rank,1
United States of America,9th,1
United States of America,"2022 GDP_nominal_rank        1st GDP_nominal_per_capita   $76,027",1
United States of America,GDP_nominal_per_capita_rank,1
United States of America,8th,1
United States of America,Gini,1
United States of America,48.5,1
United States of America,Gini_ref                 Gini_rank                HDI                     ,1
United States of America,HDI_ref                  HDI_rank,1
United States of America,U.S.,51
United States of America,4,3
United States of America,10,1
United States of America,drives_on,1
United States of America,US,3
United States of America,today,1
United States of America,nowrap;63%,1
United States of America,Protestantism21%,1
United States of America,Catholicism2%,1
United States of America,The United States of America,1
United States of America,U.S.A.,1
United States of America,USA,1
United States of America,America,6
United States of America,North America,7
United States of America,U.S.50 states,1
United States of America,five,6
United States of America,326,1
United States of America,Indian,3
United States of America,nine,2
United States of America,more than 331 million,1
United States of America,third,4
United States of America,Paleo-Indians,1
United States of America,Siberia,2
United States of America,North American,1
United States of America,"at least 12,000 years ago",2
United States of America,European,18
United States of America,the 16th century,1
United States of America,The United States,23
United States of America,Thirteen,4
United States of America,British,6
United States of America,the East Coast,1
United States of America,the American Revolutionary War,1
United States of America,17751783,1
United States of America,the late 18th century,2
United States of America,Mexicanthrough,1
United States of America,Native Americans,9
United States of America,1848,1
United States of America,United States,13
United States of America,the second half of the 19th century,1
United States of America,the American Civil War,2
United States of America,The SpanishAmerican War,1
United States of America,the Soviet Union,4
United States of America,two,8
United States of America,the Cold War,5
United States of America,Korean,2
United States of America,the Space Race,1
United States of America,1969,1
United States of America,first,26
United States of America,Moon,2
United States of America,The Soviet Union's,2
United States of America,1991,2
United States of America,the 21st century,1
United States of America,three,5
United States of America,the United Nations,1
United States of America,World Bank,1
United States of America,International Monetary Fund,1
United States of America,Organization of American States,1
United States of America,NATO,1
United States of America,the United Nations Security Council,2
United States of America,centuries,1
United States of America,approximately a quarter,1
United States of America,second,8
United States of America,only 4.2%,1
United States of America,over 30%,1
United States of America,more than a third,1
United States of America,Cohen,1
United States of America,2004,2
United States of America,April 2008,1
United States of America,1507,1
United States of America,German,3
United States of America,Martin Waldseemller,1
United States of America,French,5
United States of America,Saint-Di-des-Vosges,1
United States of America,South America,2
United States of America,Amerigo Vespucci,1
United States of America,Italian,2
United States of America,the West Indies,1
United States of America,Asia,2
United States of America,1776,3
United States of America,Stephen Moylan,5
United States of America,Joseph Reed,2
United States of America,George Washington's,1
United States of America,Moylan,2
United States of America,the United States of America,3
United States of America,Spain,2
United States of America,DeLear,1
United States of America,Byron,1
United States of America,"July 4, 2013",1
United States of America,'United States of America',2
United States of America,Esq.,1
United States of America,the Continental Army Headquarters,1
United States of America,Cambridge,2
United States of America,Mass.,1
United States of America,the Siege of Boston,1
United States of America,Reed,2
United States of America,Christian Science Monitor,1
United States of America,Boston,2
United States of America,MA).Touba,1
United States of America,Mariam,1
United States of America,"November 5, 2014",1
United States of America,United States of America',2
United States of America,"January 2, 1776",1
United States of America,seven months,1
United States of America,the Declaration of Independence,2
United States of America,Paine's Common Sense,1
United States of America,George Washington,2
United States of America,New-York Historical Society Museum & LibraryFay,1
United States of America,John,1
United States of America,"July 15, 2016",1
United States of America,Irishman,1
United States of America,the NY Historical Society,1
United States of America,Virginia,2
United States of America,Williamsburg,2
United States of America,April6,1
United States of America,1776.The,1
United States of America,the Articles of Confederation,2
United States of America,John Dickinson,1
United States of America,Confederation,1
United States of America,the end of the Civil War,1
United States of America,pre-Columbian,1
United States of America,Bering,1
United States of America,Mississippian,1
United States of America,Atlantic,3
United States of America,Algonquian,1
United States of America,New England,2
United States of America,Norse,1
United States of America,Europeans,1
United States of America,Spanish,5
United States of America,Juan Ponce de Len,1
United States of America,Florida,1
United States of America,1513,1
United States of America,Christopher Columbus,1
United States of America,Puerto Rico,2
United States of America,Columbus'1493,1
United States of America,San Juan,2
United States of America,a decade later,1
United States of America,Bianchine,1
United States of America,Russo,1
United States of America,1992,1
United States of America,the early days,1
United States of America,Ripper,2
United States of America,6,1
United States of America,5Calloway,1
United States of America,1998,2
United States of America,55,1
United States of America,African,3
United States of America,Colonial America,1
United States of America,Tadman,1
United States of America,2000,1
United States of America,1534Schneider,1
United States of America,2007,3
United States of America,484,1
United States of America,Colonial,1
United States of America,Lien,1
United States of America,1913,1
United States of America,522Davis,1
United States of America,1996,1
United States of America,7,1
United States of America,the 18th century,1
United States of America,South,8
United States of America,2011,2
United States of America,New Hampshire,1
United States of America,Massachusetts,1
United States of America,Connecticut,1
United States of America,Rhode Island,1
United States of America,New York,3
United States of America,New Jersey,1
United States of America,Pennsylvania,2
United States of America,Delaware,1
United States of America,Maryland,1
United States of America,North Carolina,1
United States of America,South Carolina,1
United States of America,Georgia,1
United States of America,the Seven Years' War,1
United States of America,17561763,1
United States of America,Indian War,1
United States of America,Canada,6
United States of America,the Province of Quebec,1
United States of America,Quebec,1
United States of America,Nova Scotia,1
United States of America,Newfoundland,1
United States of America,the Thirteen Colonies,2
United States of America,1770,1
United States of America,about a third,1
United States of America,Britain,4
United States of America,1770s,1
United States of America,Americans,10
United States of America,Walton,1
United States of America,2009,5
United States of America,35,1
United States of America,royal authority,1
United States of America,Independence,1
United States of America,American Revolutionary War,1
United States of America,the British Empire,1
United States of America,non-European,2
United States of America,Englishmen,1
United States of America,Parliament,1
United States of America,The Second Continental Congress,1
United States of America,the United Colonies,1
United States of America,July4,1
United States of America,this day,1
United States of America,annually,1
United States of America,Independence Day,1
United States of America,1777,1
United States of America,the Siege of Yorktown,1
United States of America,1781,1
United States of America,the Mississippi River,2
United States of America,the War of 1812,1
United States of America,Nationalists,1
United States of America,the Philadelphia Convention of 1787,1
United States of America,the United States Constitution,1
United States of America,1788,1
United States of America,1789,1
United States of America,the Continental Army,1
United States of America,The Bill of Rights,1
United States of America,1791.Boyer,1
United States of America,pp,7
United States of America,192193Although,1
United States of America,1807,1
United States of America,1820,1
United States of America,the Deep South,1
United States of America,197Beginning,1
United States of America,The California Gold Rush,1
United States of America,18481849,1
United States of America,the Pacific coast,1
United States of America,the California Genocide,1
United States of America,1869,1
United States of America,Ulysses S.Peace,1
United States of America,West,1
United States of America,the 1900s,1
United States of America,Civil War,1
United States of America,Reconstruction,2
United States of America,Africans,1
United States of America,African Americans,4
United States of America,1863,1
United States of America,Lincoln,2
United States of America,Emancipation Proclamation,1
United States of America,April 1865,1
United States of America,the Thirteenth Amendment,1
United States of America,Two,1
United States of America,Union,1
United States of America,April14,1
United States of America,1865,1
United States of America,North,2
United States of America,Republicans,4
United States of America,1877,1
United States of America,Democrats,5
United States of America,1876.Southern,1
United States of America,Redeemers,2
United States of America,1890 to 1910,1
United States of America,Jim Crow,1
United States of America,Southern and,1
United States of America,Eastern Europe,1
United States of America,Indian Wars west,1
United States of America,1810,1
United States of America,at least 1890.Rapid,1
United States of America,the late 19th and early 20th centuries,1
United States of America,Cornelius Vanderbilt,1
United States of America,John D. Rockefeller,1
United States of America,Andrew Carnegie,1
United States of America,J. P. Morgan,1
United States of America,Zinn,1
United States of America,2005,2
United States of America,321357,1
United States of America,the Progressive Era,1
United States of America,Paige Meltzer,1
United States of America,The Pulse and Conscience of America,1
United States of America,The General Federation and,1
United States of America,Women's Citizenship,1
United States of America,"19451960,""Frontiers",1
United States of America,Journal of Women,1
United States of America,Vol.,1
United States of America,30,1
United States of America,3,1
United States of America,"Timberlake,Prohibition",1
United States of America,the Progressive Movement,1
United States of America,19001920(Harvard,1
United States of America,B. Tindall,1
United States of America,"the Twenties,""South Atlantic Quarterly62",1
United States of America,Winter 1963,1
United States of America,"92106.World War I, Great Depression",1
United States of America,World War IIThe United States,1
United States of America,World War I,1
United States of America,1914,1
United States of America,1917,1
United States of America,the Allies of World War I,1
United States of America,the Central Powers,1
United States of America,1919,1
United States of America,Woodrow Wilson,1
United States of America,the Paris Peace Conference,1
United States of America,Paris Peace Conference,1
United States of America,the League of Nations,2
United States of America,the Treaty of Versailles,1
United States of America,McDuffie,1
United States of America,Jerome,1
United States of America,Piggrem,1
United States of America,Gary Wayne,1
United States of America,Woodworth,1
United States of America,Steven E.,1
United States of America,U.S. History Super Review,1
United States of America,Piscataway,1
United States of America,NJ: Research & Education Association,1
United States of America,418,1
United States of America,1920,1
United States of America,World War II,4
United States of America,Allies,1
United States of America,March 1941,1
United States of America,"December7, 1941",1
United States of America,the Empire of Japan,1
United States of America,Pearl Harbor,1
United States of America,the following year,1
United States of America,WRA,1
United States of America,1946,1
United States of America,"120,000",1
United States of America,the Bretton Woods,1
United States of America,Yalta,1
United States of America,Europe,5
United States of America,Allied,1
United States of America,1945,1
United States of America,San Francisco,1
United States of America,Cold War,2
United States of America,late 20th,1
United States of America,Soviet,1
United States of America,Blakeley,1
United States of America,92,1
United States of America,People'Chinese,1
United States of America,North Korean,1
United States of America,the Korean War,1
United States of America,19501953,1
United States of America,1957,1
United States of America,1961,1
United States of America,"a ""Space Race",1
United States of America,1969.At,1
United States of America,Postrapid,1
United States of America,the 1970s,1
United States of America,1985,1
United States of America,16,2
United States of America,"a ""War on Poverty",1
United States of America,Medicare,3
United States of America,Medicaid,3
United States of America,Food Stamp Program,1
United States of America,Aid to Families with Dependent Children,1
United States of America,The 1970s and,1
United States of America,early 1980s,1
United States of America,Israel,1
United States of America,the Yom Kippur War,1
United States of America,OPEC,1
United States of America,1973,1
United States of America,Ronald Reagan,1
United States of America,Soss,1
United States of America,2010,6
United States of America,277Fraser,1
United States of America,1989,1
United States of America,The late 1980s,1
United States of America,1985thaw,1
United States of America,the Middle East,1
United States of America,1990,2
United States of America,Kuwait,2
United States of America,August,1
United States of America,George H. W. Bush,1
United States of America,the Gulf War,1
United States of America,Iraq,1
United States of America,February 1991,1
United States of America,34,1
United States of America,Iraqi,1
United States of America,the 1990s,1
United States of America,"September 11, 2001",1
United States of America,al-Qaeda,1
United States of America,Islamic,1
United States of America,the World Trade Center,1
United States of America,Pentagon,2
United States of America,"almost 3,000",1
United States of America,American Recovery and Reinvestment Act,1
United States of America,the DoddFrank Wall Street Reform and Consumer Protection Act,1
United States of America,Republican,1
United States of America,Donald Trump,1
United States of America,45th,1
United States of America,2016,2
United States of America,48,2
United States of America,the District of Columbia,3
United States of America,fourth,3
United States of America,Russia,4
United States of America,China,4
United States of America,India,1
United States of America,Piedmont,1
United States of America,The MississippiMissouri River,1
United States of America,northsouth,1
United States of America,Great Plains,1
United States of America,The Rocky Mountains,1
United States of America,the Great Plains,2
