Title,Named-entity,Frequency
Vladimir Putin,Infobox,1
Vladimir Putin,Vladimir Putin,16
Vladimir Putin,17,2
Vladimir Putin,cropped).jpg,1
Vladimir Putin,2021,3
Vladimir Putin,Russia,124
Vladimir Putin,May 2012,4
Vladimir Putin,7 May 2000,2
Vladimir Putin,31 December 1999,3
Vladimir Putin,Dmitry Medvedev,6
Vladimir Putin,office3,1
Vladimir Putin,May 2008,2
Vladimir Putin,1blankname3,1
Vladimir Putin,First,6
Vladimir Putin,1namedata3,1
Vladimir Putin,9,1
Vladimir Putin,August 1999,3
Vladimir Putin,May 2000,2
Vladimir Putin,Sergei Stepashin,1
Vladimir Putin,Mikhail Kasyanov,1
Vladimir Putin,Boris Yeltsin,6
Vladimir Putin,1blankname4,1
Vladimir Putin,1namedata4,1
Vladimir Putin,the Security Council of Russia,1
Vladimir Putin,March 1999,2
Vladimir Putin,Sergei Ivanov,1
Vladimir Putin,the Federal Security Service,3
Vladimir Putin,25 July 1998,2
Vladimir Putin,Nikolai Patrushev office7,1
Vladimir Putin,12 June 2013,1
Vladimir Putin,predecessor7      Office,1
Vladimir Putin,the Council of Ministers of the Union State,1
Vladimir Putin,1blankname8       ,1
Vladimir Putin,1namedata8,1
Vladimir Putin,2blankname8,1
Vladimir Putin,2namedata8,1
Vladimir Putin,27 May 2008,1
Vladimir Putin,July 2012,1
Vladimir Putin,United Russia,7
Vladimir Putin,19911995,1
Vladimir Putin,20012008,1
Vladimir Putin,20082012)Unity,1
Vladimir Putin,19992001)Our,1
Vladimir Putin,19751991,1
Vladimir Putin,Vladimir Vladimirovich,1
Vladimir Putin,Leningrad,5
Vladimir Putin,Russian SFSR,2
Vladimir Putin,Soviet Union,2
Vladimir Putin,At least 2,1
Vladimir Putin,Maria,2
Vladimir Putin,Katerina,1
Vladimir Putin,Moscow,18
Vladimir Putin,Vladimir Spiridonovich Putin,2
Vladimir Putin,Maria Ivanovna Putina,1
Vladimir Putin,KGB,19
Vladimir Putin,FSB,5
Vladimir Putin,Russian Armed Forces,1
Vladimir Putin,1999,5
