Title,Named-entity,Frequency
Volkswagen,Infobox,1
Volkswagen,Volkswagen,181
Volkswagen,2019.svg,1
Volkswagen,150,1
Volkswagen,Wolfsburg,8
Volkswagen,Germany,13
Volkswagen,German Labour Front,1
Volkswagen,Ralf Brandstaetter,1
Volkswagen,Ralf Brandsttter,1
Volkswagen,VW Group,1
Volkswagen,8 June 2020,1
Volkswagen,Volkswagen Group,5
Volkswagen,German,14
Volkswagen,Volk,1
Volkswagen,1937,1
Volkswagen,the German Labour Front,1
Volkswagen,Berlin,2
Volkswagen,the early 1930s,1
Volkswagen,Germans,1
Volkswagen,only one,1
Volkswagen,50,1
Volkswagen,Mercedes-Mercedes,1
Volkswagen,BMW,2
Volkswagen,3/15,1
Volkswagen,Adler 2.5-Adler AutoBahn,1
Volkswagen,Steyr,2
Volkswagen,Hanomag,2
Volkswagen,Bla Barnyi,1
Volkswagen,the mid-1920s,1
Volkswagen,Josef Ganz,1
Volkswagen,the Standard Superior,1
Volkswagen,Kommissbrot,1
Volkswagen,1925,1
Volkswagen,Adolf Hitler,2
Volkswagen,two,8
Volkswagen,three,2
Volkswagen,RM990,1
Volkswagen,Hitler,3
Volkswagen,Ferdinand Porsche's,2
Volkswagen,Tooze,1
Volkswagen,2006,7
Volkswagen,KdF-Wagen,1
Volkswagen,Kraft durch FreudeErwin,1
Volkswagen,Komenda,1
Volkswagen,Auto Union,4
Volkswagen,Beetle,16
Volkswagen,today,2
Volkswagen,one,6
Volkswagen,first,22
Volkswagen,the early 1920s,1
Volkswagen,million miles,1
Volkswagen,May 1938,1
Volkswagen,Stadt des KdF-Wagens,1
Volkswagen,1939,1
Volkswagen,20 April 1944,1
Volkswagen,55th,1
Volkswagen,19391944,1
Volkswagen,labour War,1
Volkswagen,VW,40
Volkswagen,Schwimmwagenmanufactured,1
Volkswagen,One,3
Volkswagen,American,7
Volkswagen,Ernie Pyle,1
Volkswagen,a few days,1
Volkswagen,Allied,1
Volkswagen,Tunisia,1
Volkswagen,May 1943.Pyle,1
Volkswagen,Ernie,1
Volkswagen,Cleveland,1
Volkswagen,World Publishing Company,1
Volkswagen,1945,1
Volkswagen,pp,1
Volkswagen,275,1
Volkswagen,293,1
Volkswagen,Nazi,4
Volkswagen,1998,5
Volkswagen,"15,000",1
Volkswagen,80%,1
Volkswagen,British Army,3
Volkswagen,April 1945,1
Volkswagen,KdF-Stadt,1
Volkswagen,the United States,18
Volkswagen,British,3
Volkswagen,Ivan Hirst,1
Volkswagen,REME,1
Volkswagen,Britain,3
Volkswagen,KdF-Wagens,1
Volkswagen,Hirst,7
Volkswagen,KdF-Wagen',1
Volkswagen,September 1945,1
Volkswagen,the British Army,1
Volkswagen,"20,000",1
Volkswagen,Heinrich Nordhoff,2
Volkswagen,1949,3
Volkswagen,Soviet,1
Volkswagen,1986,2
Volkswagen,many years,2
Volkswagen,10%,1
Volkswagen,1936,1
Volkswagen,Second World War-,1
Volkswagen,Australian,1
Volkswagen,French,1
Volkswagen,William Edward Rootes,1
Volkswagen,William Rootes,1
Volkswagen,the British Rootes Group,1
Volkswagen,two years,1
Volkswagen,March 1948,1
Volkswagen,Ford,8
Volkswagen,Henry Ford II,2
Volkswagen,Edsel Ford,1
Volkswagen,West Germany,2
Volkswagen,Heinz Nordhoff,1
Volkswagen,Ernest Breech,1
Volkswagen,Breech,2
Volkswagen,post war West GermanyFrom,1
Volkswagen,1948,3
Volkswagen,West German,2
Volkswagen,18991968,1
Volkswagen,Opel,2
Volkswagen,1930s,1
Volkswagen,1940s,1
Volkswagen,the State of Lower Saxony,1
Volkswagen,Karmann,2
Volkswagen,Ghia,1
Volkswagen,Nordhoff,1
Volkswagen,1968.Volkswagens,1
Volkswagen,only two,1
Volkswagen,America,3
Volkswagen,that first year,1
Volkswagen,US,8
Volkswagen,Volkswagen of America,2
Volkswagen,April 1955,1
Volkswagen,the years,1
Volkswagen,one million,1
Volkswagen,1955.The,1
Volkswagen,UK,2
Volkswagen,Colborne Garages,1
Volkswagen,Ripley,1
Volkswagen,Surrey,1
Volkswagen,Canadian Motors,1
Volkswagen,Canada,7
Volkswagen,Volkswagens,2
