Title,Named-entity,Sentence
Angela Merkel,Infobox,Infobox officeholder honorific-suffix  Bundeskanzlerin a. D. image                Angela Merkel 2019 cropped.jpg caption              Merkel in 2019 office               Chancellor of Germany president            Horst KhlerChristian WulffJoachim GauckFrank-Walter Steinmeier 1blankname            1namedata            titleSee list1Franz Mntefering2Frank-Walter Steinmeier3Guido Westerwelle4Philipp Rsler5Sigmar Gabriel6Olaf Scholz
Angela Merkel,Angela Merkel,Infobox officeholder honorific-suffix  Bundeskanzlerin a. D. image                Angela Merkel 2019 cropped.jpg caption              Merkel in 2019 office               Chancellor of Germany president            Horst KhlerChristian WulffJoachim GauckFrank-Walter Steinmeier 1blankname            1namedata            titleSee list1Franz Mntefering2Frank-Walter Steinmeier3Guido Westerwelle4Philipp Rsler5Sigmar Gabriel6Olaf Scholz
Angela Merkel,2019,Infobox officeholder honorific-suffix  Bundeskanzlerin a. D. image                Angela Merkel 2019 cropped.jpg caption              Merkel in 2019 office               Chancellor of Germany president            Horst KhlerChristian WulffJoachim GauckFrank-Walter Steinmeier 1blankname            1namedata            titleSee list1Franz Mntefering2Frank-Walter Steinmeier3Guido Westerwelle4Philipp Rsler5Sigmar Gabriel6Olaf Scholz
Angela Merkel,2019,Infobox officeholder honorific-suffix  Bundeskanzlerin a. D. image                Angela Merkel 2019 cropped.jpg caption              Merkel in 2019 office               Chancellor of Germany president            Horst KhlerChristian WulffJoachim GauckFrank-Walter Steinmeier 1blankname            1namedata            titleSee list1Franz Mntefering2Frank-Walter Steinmeier3Guido Westerwelle4Philipp Rsler5Sigmar Gabriel6Olaf Scholz
Angela Merkel,Germany,Infobox officeholder honorific-suffix  Bundeskanzlerin a. D. image                Angela Merkel 2019 cropped.jpg caption              Merkel in 2019 office               Chancellor of Germany president            Horst KhlerChristian WulffJoachim GauckFrank-Walter Steinmeier 1blankname            1namedata            titleSee list1Franz Mntefering2Frank-Walter Steinmeier3Guido Westerwelle4Philipp Rsler5Sigmar Gabriel6Olaf Scholz
Angela Merkel,GauckFrank-Walter Steinmeier,Infobox officeholder honorific-suffix  Bundeskanzlerin a. D. image                Angela Merkel 2019 cropped.jpg caption              Merkel in 2019 office               Chancellor of Germany president            Horst KhlerChristian WulffJoachim GauckFrank-Walter Steinmeier 1blankname            1namedata            titleSee list1Franz Mntefering2Frank-Walter Steinmeier3Guido Westerwelle4Philipp Rsler5Sigmar Gabriel6Olaf Scholz
Angela Merkel,Mntefering2Frank-Walter Steinmeier3Guido,Infobox officeholder honorific-suffix  Bundeskanzlerin a. D. image                Angela Merkel 2019 cropped.jpg caption              Merkel in 2019 office               Chancellor of Germany president            Horst KhlerChristian WulffJoachim GauckFrank-Walter Steinmeier 1blankname            1namedata            titleSee list1Franz Mntefering2Frank-Walter Steinmeier3Guido Westerwelle4Philipp Rsler5Sigmar Gabriel6Olaf Scholz
Angela Merkel,Rsler5Sigmar Gabriel6Olaf Scholz,Infobox officeholder honorific-suffix  Bundeskanzlerin a. D. image                Angela Merkel 2019 cropped.jpg caption              Merkel in 2019 office               Chancellor of Germany president            Horst KhlerChristian WulffJoachim GauckFrank-Walter Steinmeier 1blankname            1namedata            titleSee list1Franz Mntefering2Frank-Walter Steinmeier3Guido Westerwelle4Philipp Rsler5Sigmar Gabriel6Olaf Scholz
Angela Merkel,November 2005,term_start           22 November 2005 term_end             8 December 2021 predecessor          Gerhard Schrder successor            Olaf Scholz office1              Leader of the Christian Democratic Union 1blankname1           1namedata1           titleSee list1Ruprecht Polenz2Laurenz Meyer3Volker Kauder4Ronald Pofalla5Hermann Grhe6Peter Tauber7Annegret Kramp-Karrenbauer deputy2              titleSee list1Volker Bouffier2Christian Wulff3Ursula von der Leyen4Annette Schavan5Julia Klckner6Norbert Rttgen7Armin Laschet8Thomas Strobl term_start1          10 April 2000 term_end1            7 December 2018 predecessor2         Wolfgang Schuble successor2           Annegret Kramp-Karrenbauer office3              Leader of the Opposition chancellor3          Gerhard Schrder term_start3          22 September 2002 term_end3            22 November 2005 predecessor3         Friedrich Merz successor3           Wolfgang Gerhardt office4              Leader of the CDU/CDU/CSU group in the Bundestag 1blankname5           1namedata5           Volker KauderNorbert Rttgen 1blankname4          First Deputy 1namedata4           Michael Glos term_start4          22 September 2002
Angela Merkel,December 2021,term_start           22 November 2005 term_end             8 December 2021 predecessor          Gerhard Schrder successor            Olaf Scholz office1              Leader of the Christian Democratic Union 1blankname1           1namedata1           titleSee list1Ruprecht Polenz2Laurenz Meyer3Volker Kauder4Ronald Pofalla5Hermann Grhe6Peter Tauber7Annegret Kramp-Karrenbauer deputy2              titleSee list1Volker Bouffier2Christian Wulff3Ursula von der Leyen4Annette Schavan5Julia Klckner6Norbert Rttgen7Armin Laschet8Thomas Strobl term_start1          10 April 2000 term_end1            7 December 2018 predecessor2         Wolfgang Schuble successor2           Annegret Kramp-Karrenbauer office3              Leader of the Opposition chancellor3          Gerhard Schrder term_start3          22 September 2002 term_end3            22 November 2005 predecessor3         Friedrich Merz successor3           Wolfgang Gerhardt office4              Leader of the CDU/CDU/CSU group in the Bundestag 1blankname5           1namedata5           Volker KauderNorbert Rttgen 1blankname4          First Deputy 1namedata4           Michael Glos term_start4          22 September 2002
Angela Merkel,Gerhard Schrder,term_start           22 November 2005 term_end             8 December 2021 predecessor          Gerhard Schrder successor            Olaf Scholz office1              Leader of the Christian Democratic Union 1blankname1           1namedata1           titleSee list1Ruprecht Polenz2Laurenz Meyer3Volker Kauder4Ronald Pofalla5Hermann Grhe6Peter Tauber7Annegret Kramp-Karrenbauer deputy2              titleSee list1Volker Bouffier2Christian Wulff3Ursula von der Leyen4Annette Schavan5Julia Klckner6Norbert Rttgen7Armin Laschet8Thomas Strobl term_start1          10 April 2000 term_end1            7 December 2018 predecessor2         Wolfgang Schuble successor2           Annegret Kramp-Karrenbauer office3              Leader of the Opposition chancellor3          Gerhard Schrder term_start3          22 September 2002 term_end3            22 November 2005 predecessor3         Friedrich Merz successor3           Wolfgang Gerhardt office4              Leader of the CDU/CDU/CSU group in the Bundestag 1blankname5           1namedata5           Volker KauderNorbert Rttgen 1blankname4          First Deputy 1namedata4           Michael Glos term_start4          22 September 2002
Angela Merkel,Olaf Scholz,term_start           22 November 2005 term_end             8 December 2021 predecessor          Gerhard Schrder successor            Olaf Scholz office1              Leader of the Christian Democratic Union 1blankname1           1namedata1           titleSee list1Ruprecht Polenz2Laurenz Meyer3Volker Kauder4Ronald Pofalla5Hermann Grhe6Peter Tauber7Annegret Kramp-Karrenbauer deputy2              titleSee list1Volker Bouffier2Christian Wulff3Ursula von der Leyen4Annette Schavan5Julia Klckner6Norbert Rttgen7Armin Laschet8Thomas Strobl term_start1          10 April 2000 term_end1            7 December 2018 predecessor2         Wolfgang Schuble successor2           Annegret Kramp-Karrenbauer office3              Leader of the Opposition chancellor3          Gerhard Schrder term_start3          22 September 2002 term_end3            22 November 2005 predecessor3         Friedrich Merz successor3           Wolfgang Gerhardt office4              Leader of the CDU/CDU/CSU group in the Bundestag 1blankname5           1namedata5           Volker KauderNorbert Rttgen 1blankname4          First Deputy 1namedata4           Michael Glos term_start4          22 September 2002
Angela Merkel,the Christian Democratic Union,term_start           22 November 2005 term_end             8 December 2021 predecessor          Gerhard Schrder successor            Olaf Scholz office1              Leader of the Christian Democratic Union 1blankname1           1namedata1           titleSee list1Ruprecht Polenz2Laurenz Meyer3Volker Kauder4Ronald Pofalla5Hermann Grhe6Peter Tauber7Annegret Kramp-Karrenbauer deputy2              titleSee list1Volker Bouffier2Christian Wulff3Ursula von der Leyen4Annette Schavan5Julia Klckner6Norbert Rttgen7Armin Laschet8Thomas Strobl term_start1          10 April 2000 term_end1            7 December 2018 predecessor2         Wolfgang Schuble successor2           Annegret Kramp-Karrenbauer office3              Leader of the Opposition chancellor3          Gerhard Schrder term_start3          22 September 2002 term_end3            22 November 2005 predecessor3         Friedrich Merz successor3           Wolfgang Gerhardt office4              Leader of the CDU/CDU/CSU group in the Bundestag 1blankname5           1namedata5           Volker KauderNorbert Rttgen 1blankname4          First Deputy 1namedata4           Michael Glos term_start4          22 September 2002
Angela Merkel,1blankname1,term_start           22 November 2005 term_end             8 December 2021 predecessor          Gerhard Schrder successor            Olaf Scholz office1              Leader of the Christian Democratic Union 1blankname1           1namedata1           titleSee list1Ruprecht Polenz2Laurenz Meyer3Volker Kauder4Ronald Pofalla5Hermann Grhe6Peter Tauber7Annegret Kramp-Karrenbauer deputy2              titleSee list1Volker Bouffier2Christian Wulff3Ursula von der Leyen4Annette Schavan5Julia Klckner6Norbert Rttgen7Armin Laschet8Thomas Strobl term_start1          10 April 2000 term_end1            7 December 2018 predecessor2         Wolfgang Schuble successor2           Annegret Kramp-Karrenbauer office3              Leader of the Opposition chancellor3          Gerhard Schrder term_start3          22 September 2002 term_end3            22 November 2005 predecessor3         Friedrich Merz successor3           Wolfgang Gerhardt office4              Leader of the CDU/CDU/CSU group in the Bundestag 1blankname5           1namedata5           Volker KauderNorbert Rttgen 1blankname4          First Deputy 1namedata4           Michael Glos term_start4          22 September 2002
