Title,Named-entity,Sentence
Barack Obama,Infobox,Infobox officeholder image                President Barack Obama.jpg alt                  Obama standing with his arms folded and smiling.
Barack Obama,Barack Obama.jpg,Infobox officeholder image                President Barack Obama.jpg alt                  Obama standing with his arms folded and smiling.
Barack Obama,44th,"order                44th office               President of the United States caption              Official portrait, 2012 vicepresident        Joe Biden"
Barack Obama,the United States,"order                44th office               President of the United States caption              Official portrait, 2012 vicepresident        Joe Biden"
Barack Obama,2012,"order                44th office               President of the United States caption              Official portrait, 2012 vicepresident        Joe Biden"
Barack Obama,Joe Biden,"order                44th office               President of the United States caption              Official portrait, 2012 vicepresident        Joe Biden"
Barack Obama,"January 20, 2009","term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,"January 20, 2017","term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,George W. Bush,"term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,Donald Trump jr,"term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,United States,"term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,Illinois,"term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,"January 3, 2005","term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,"November 16, 2008","term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,Peter Fitzgerald,"term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,Roland Burris,"term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,Illinois district2            Illinois'13th,"term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,Alice Palmer,"term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,"January 8, 1997","term_start           January 20, 2009 term_end             January 20, 2017 predecessor          George W. Bush successor            Donald Trump jr/sr1               United States Senator state1               Illinois term_start1          January 3, 2005 term_end1            November 16, 2008 predecessor1         Peter Fitzgerald successor1           Roland Burris state_senate2        Illinois district2            Illinois'13th predecessor2         Alice Palmer term_start2          January 8, 1997 term_end2"
Barack Obama,"November 4, 2004","           November 4, 2004 successor2           Kwame Raoul birth_name           Barack Hussein Obama II birth_date            birth_place          Honolulu, Hawaii,"
Barack Obama,Kwame Raoul,"           November 4, 2004 successor2           Kwame Raoul birth_name           Barack Hussein Obama II birth_date            birth_place          Honolulu, Hawaii,"
Barack Obama,Barack Hussein Obama II,"           November 4, 2004 successor2           Kwame Raoul birth_name           Barack Hussein Obama II birth_date            birth_place          Honolulu, Hawaii,"
Barack Obama,Honolulu,"           November 4, 2004 successor2           Kwame Raoul birth_name           Barack Hussein Obama II birth_date            birth_place          Honolulu, Hawaii,"
Barack Obama,Hawaii,"           November 4, 2004 successor2           Kwame Raoul birth_name           Barack Hussein Obama II birth_date            birth_place          Honolulu, Hawaii,"
Barack Obama,U.S.,U.S.
Barack Obama,Democratic,death_date            death_place           party                Democratic spouse                children              Malia Sasha parents               Barack Obama Sr.
Barack Obama,Malia Sasha,death_date            death_place           party                Democratic spouse                children              Malia Sasha parents               Barack Obama Sr.
Barack Obama,Barack Obama Sr.,death_date            death_place           party                Democratic spouse                children              Malia Sasha parents               Barack Obama Sr.
Barack Obama,Ann Dunham,"Ann Dunham relatives            Family of Barack Obama residence            Kalorama (Washington, D.C.) education            Punahou School alma_mater            occupation            awards               List of honors and awards signature            Barack Obama signature.svg signature_alt        Cursive signature in ink website              Barack Hussein Obama II (."
Barack Obama,Barack Obama,"Ann Dunham relatives            Family of Barack Obama residence            Kalorama (Washington, D.C.) education            Punahou School alma_mater            occupation            awards               List of honors and awards signature            Barack Obama signature.svg signature_alt        Cursive signature in ink website              Barack Hussein Obama II (."
Barack Obama,Washington,"Ann Dunham relatives            Family of Barack Obama residence            Kalorama (Washington, D.C.) education            Punahou School alma_mater            occupation            awards               List of honors and awards signature            Barack Obama signature.svg signature_alt        Cursive signature in ink website              Barack Hussein Obama II (."
Barack Obama,D.C.,"Ann Dunham relatives            Family of Barack Obama residence            Kalorama (Washington, D.C.) education            Punahou School alma_mater            occupation            awards               List of honors and awards signature            Barack Obama signature.svg signature_alt        Cursive signature in ink website              Barack Hussein Obama II (."
Barack Obama,Punahou School,"Ann Dunham relatives            Family of Barack Obama residence            Kalorama (Washington, D.C.) education            Punahou School alma_mater            occupation            awards               List of honors and awards signature            Barack Obama signature.svg signature_alt        Cursive signature in ink website              Barack Hussein Obama II (."
Barack Obama,Barack Obama,"Ann Dunham relatives            Family of Barack Obama residence            Kalorama (Washington, D.C.) education            Punahou School alma_mater            occupation            awards               List of honors and awards signature            Barack Obama signature.svg signature_alt        Cursive signature in ink website              Barack Hussein Obama II (."
Barack Obama,Barack Hussein Obama II,"Ann Dunham relatives            Family of Barack Obama residence            Kalorama (Washington, D.C.) education            Punahou School alma_mater            occupation            awards               List of honors and awards signature            Barack Obama signature.svg signature_alt        Cursive signature in ink website              Barack Hussein Obama II (."
Barack Obama,"January 20, 2009","January 20, 2009."
Barack Obama,"August 4, 1961","born August 4, 1961) is an American politician Obama was born in Honolulu, Hawaii."
Barack Obama,American,"born August 4, 1961) is an American politician Obama was born in Honolulu, Hawaii."
Barack Obama,Obama,"born August 4, 1961) is an American politician Obama was born in Honolulu, Hawaii."
Barack Obama,Honolulu,"born August 4, 1961) is an American politician Obama was born in Honolulu, Hawaii."
Barack Obama,Hawaii,"born August 4, 1961) is an American politician Obama was born in Honolulu, Hawaii."
