Title,Named-entity,Sentence
Brad Pitt,Infobox,Infobox person name                Brad Pitt image               Brad Pitt 2019 by Glenn Francis.jpg alt                 Brad Pitt at the premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt,Brad Pitt,Infobox person name                Brad Pitt image               Brad Pitt 2019 by Glenn Francis.jpg alt                 Brad Pitt at the premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt,Brad Pitt,Infobox person name                Brad Pitt image               Brad Pitt 2019 by Glenn Francis.jpg alt                 Brad Pitt at the premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt,2019,Infobox person name                Brad Pitt image               Brad Pitt 2019 by Glenn Francis.jpg alt                 Brad Pitt at the premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt,Glenn Francis.jpg,Infobox person name                Brad Pitt image               Brad Pitt 2019 by Glenn Francis.jpg alt                 Brad Pitt at the premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt,Brad Pitt,Infobox person name                Brad Pitt image               Brad Pitt 2019 by Glenn Francis.jpg alt                 Brad Pitt at the premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt,Hollywood,Infobox person name                Brad Pitt image               Brad Pitt 2019 by Glenn Francis.jpg alt                 Brad Pitt at the premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt,2019,Infobox person name                Brad Pitt image               Brad Pitt 2019 by Glenn Francis.jpg alt                 Brad Pitt at the premiere of 'Once Upon a Time in Hollywood' in 2019.
Brad Pitt,Pitt,"caption             Pitt in 2019 birth_name          William Bradley Pitt birth_date           birth_place         Shawnee, Oklahoma, U.S."
Brad Pitt,2019,"caption             Pitt in 2019 birth_name          William Bradley Pitt birth_date           birth_place         Shawnee, Oklahoma, U.S."
Brad Pitt,William Bradley,"caption             Pitt in 2019 birth_name          William Bradley Pitt birth_date           birth_place         Shawnee, Oklahoma, U.S."
Brad Pitt,Shawnee,"caption             Pitt in 2019 birth_name          William Bradley Pitt birth_date           birth_place         Shawnee, Oklahoma, U.S."
Brad Pitt,Oklahoma,"caption             Pitt in 2019 birth_name          William Bradley Pitt birth_date           birth_place         Shawnee, Oklahoma, U.S."
Brad Pitt,U.S.,"caption             Pitt in 2019 birth_name          William Bradley Pitt birth_date           birth_place         Shawnee, Oklahoma, U.S."
Brad Pitt,University of Missouri,"alma_mater          University of Missouri occupation           years_active        1987present works               Full list spouse              ubl children            6 relations           Douglas Pitt (brother) awards              Full listWilliam Bradley Pitt (born December 18, 1963) is an American actor and film producer."
Brad Pitt,6,"alma_mater          University of Missouri occupation           years_active        1987present works               Full list spouse              ubl children            6 relations           Douglas Pitt (brother) awards              Full listWilliam Bradley Pitt (born December 18, 1963) is an American actor and film producer."
Brad Pitt,Douglas Pitt,"alma_mater          University of Missouri occupation           years_active        1987present works               Full list spouse              ubl children            6 relations           Douglas Pitt (brother) awards              Full listWilliam Bradley Pitt (born December 18, 1963) is an American actor and film producer."
Brad Pitt,Bradley Pitt,"alma_mater          University of Missouri occupation           years_active        1987present works               Full list spouse              ubl children            6 relations           Douglas Pitt (brother) awards              Full listWilliam Bradley Pitt (born December 18, 1963) is an American actor and film producer."
Brad Pitt,"December 18, 1963","alma_mater          University of Missouri occupation           years_active        1987present works               Full list spouse              ubl children            6 relations           Douglas Pitt (brother) awards              Full listWilliam Bradley Pitt (born December 18, 1963) is an American actor and film producer."
Brad Pitt,American,"alma_mater          University of Missouri occupation           years_active        1987present works               Full list spouse              ubl children            6 relations           Douglas Pitt (brother) awards              Full listWilliam Bradley Pitt (born December 18, 1963) is an American actor and film producer."
Brad Pitt,an Academy Award,"He is the recipient of various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment."
Brad Pitt,British,"He is the recipient of various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment."
Brad Pitt,two,"He is the recipient of various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment."
Brad Pitt,Golden Globe Awards,"He is the recipient of various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment."
Brad Pitt,second,"He is the recipient of various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment."
Brad Pitt,Academy Award,"He is the recipient of various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment."
Brad Pitt,second,"He is the recipient of various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment."
Brad Pitt,British Academy Film Award,"He is the recipient of various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment."
Brad Pitt,third,"He is the recipient of various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment."
Brad Pitt,Golden Globe Award,"He is the recipient of various accolades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards for his acting, in addition to a second Academy Award, a second British Academy Film Award, a third Golden Globe Award, and a Primetime Emmy Award as a producer under his production company, Plan B Entertainment."
