Title,Named-entity,Sentence
Cristiano Ronaldo,Infobox,"Infobox football biography name            Cristiano Ronaldo image           Cristiano Ronaldo 2018.jpg caption         Ronaldo with Portugal at the 2018 World Cup fullname        Cristiano Ronaldo dos Santos Aveiro birth_date       birth_place     Funchal, Madeira, Portugal height          1.87 m position        Forward currentclub     Manchester United F.C.Manchester United clubnumber      7 youthyears1     1992youthclubs1  Andorinha youthyears2     1995youthclubs2  C.D.Nacional youthyears3     1997youthclubs3  Sporting CP years1          2002clubs1  Sporting CP"
Cristiano Ronaldo,Portugal,"Infobox football biography name            Cristiano Ronaldo image           Cristiano Ronaldo 2018.jpg caption         Ronaldo with Portugal at the 2018 World Cup fullname        Cristiano Ronaldo dos Santos Aveiro birth_date       birth_place     Funchal, Madeira, Portugal height          1.87 m position        Forward currentclub     Manchester United F.C.Manchester United clubnumber      7 youthyears1     1992youthclubs1  Andorinha youthyears2     1995youthclubs2  C.D.Nacional youthyears3     1997youthclubs3  Sporting CP years1          2002clubs1  Sporting CP"
Cristiano Ronaldo,the 2018 World Cup,"Infobox football biography name            Cristiano Ronaldo image           Cristiano Ronaldo 2018.jpg caption         Ronaldo with Portugal at the 2018 World Cup fullname        Cristiano Ronaldo dos Santos Aveiro birth_date       birth_place     Funchal, Madeira, Portugal height          1.87 m position        Forward currentclub     Manchester United F.C.Manchester United clubnumber      7 youthyears1     1992youthclubs1  Andorinha youthyears2     1995youthclubs2  C.D.Nacional youthyears3     1997youthclubs3  Sporting CP years1          2002clubs1  Sporting CP"
Cristiano Ronaldo,Santos Aveiro,"Infobox football biography name            Cristiano Ronaldo image           Cristiano Ronaldo 2018.jpg caption         Ronaldo with Portugal at the 2018 World Cup fullname        Cristiano Ronaldo dos Santos Aveiro birth_date       birth_place     Funchal, Madeira, Portugal height          1.87 m position        Forward currentclub     Manchester United F.C.Manchester United clubnumber      7 youthyears1     1992youthclubs1  Andorinha youthyears2     1995youthclubs2  C.D.Nacional youthyears3     1997youthclubs3  Sporting CP years1          2002clubs1  Sporting CP"
Cristiano Ronaldo,Funchal,"Infobox football biography name            Cristiano Ronaldo image           Cristiano Ronaldo 2018.jpg caption         Ronaldo with Portugal at the 2018 World Cup fullname        Cristiano Ronaldo dos Santos Aveiro birth_date       birth_place     Funchal, Madeira, Portugal height          1.87 m position        Forward currentclub     Manchester United F.C.Manchester United clubnumber      7 youthyears1     1992youthclubs1  Andorinha youthyears2     1995youthclubs2  C.D.Nacional youthyears3     1997youthclubs3  Sporting CP years1          2002clubs1  Sporting CP"
Cristiano Ronaldo,Madeira,"Infobox football biography name            Cristiano Ronaldo image           Cristiano Ronaldo 2018.jpg caption         Ronaldo with Portugal at the 2018 World Cup fullname        Cristiano Ronaldo dos Santos Aveiro birth_date       birth_place     Funchal, Madeira, Portugal height          1.87 m position        Forward currentclub     Manchester United F.C.Manchester United clubnumber      7 youthyears1     1992youthclubs1  Andorinha youthyears2     1995youthclubs2  C.D.Nacional youthyears3     1997youthclubs3  Sporting CP years1          2002clubs1  Sporting CP"
Cristiano Ronaldo,Portugal,"Infobox football biography name            Cristiano Ronaldo image           Cristiano Ronaldo 2018.jpg caption         Ronaldo with Portugal at the 2018 World Cup fullname        Cristiano Ronaldo dos Santos Aveiro birth_date       birth_place     Funchal, Madeira, Portugal height          1.87 m position        Forward currentclub     Manchester United F.C.Manchester United clubnumber      7 youthyears1     1992youthclubs1  Andorinha youthyears2     1995youthclubs2  C.D.Nacional youthyears3     1997youthclubs3  Sporting CP years1          2002clubs1  Sporting CP"
Cristiano Ronaldo,1.87 m,"Infobox football biography name            Cristiano Ronaldo image           Cristiano Ronaldo 2018.jpg caption         Ronaldo with Portugal at the 2018 World Cup fullname        Cristiano Ronaldo dos Santos Aveiro birth_date       birth_place     Funchal, Madeira, Portugal height          1.87 m position        Forward currentclub     Manchester United F.C.Manchester United clubnumber      7 youthyears1     1992youthclubs1  Andorinha youthyears2     1995youthclubs2  C.D.Nacional youthyears3     1997youthclubs3  Sporting CP years1          2002clubs1  Sporting CP"
Cristiano Ronaldo,United F.C.Manchester United,"Infobox football biography name            Cristiano Ronaldo image           Cristiano Ronaldo 2018.jpg caption         Ronaldo with Portugal at the 2018 World Cup fullname        Cristiano Ronaldo dos Santos Aveiro birth_date       birth_place     Funchal, Madeira, Portugal height          1.87 m position        Forward currentclub     Manchester United F.C.Manchester United clubnumber      7 youthyears1     1992youthclubs1  Andorinha youthyears2     1995youthclubs2  C.D.Nacional youthyears3     1997youthclubs3  Sporting CP years1          2002clubs1  Sporting CP"
Cristiano Ronaldo,1992youthclubs1,"Infobox football biography name            Cristiano Ronaldo image           Cristiano Ronaldo 2018.jpg caption         Ronaldo with Portugal at the 2018 World Cup fullname        Cristiano Ronaldo dos Santos Aveiro birth_date       birth_place     Funchal, Madeira, Portugal height          1.87 m position        Forward currentclub     Manchester United F.C.Manchester United clubnumber      7 youthyears1     1992youthclubs1  Andorinha youthyears2     1995youthclubs2  C.D.Nacional youthyears3     1997youthclubs3  Sporting CP years1          2002clubs1  Sporting CP"
