Title,Named-entity,Sentence
Ed Sheeran,Infobox,Infobox person name                Ed Sheeran honorific_suffix    MBE image               Ed Sheeran-6886 (cropped).jpg caption             Sheeran in Berlin in 2018 birth_name          
Ed Sheeran,MBE,Infobox person name                Ed Sheeran honorific_suffix    MBE image               Ed Sheeran-6886 (cropped).jpg caption             Sheeran in Berlin in 2018 birth_name          
Ed Sheeran,Ed Sheeran-6886,Infobox person name                Ed Sheeran honorific_suffix    MBE image               Ed Sheeran-6886 (cropped).jpg caption             Sheeran in Berlin in 2018 birth_name          
Ed Sheeran,cropped).jpg,Infobox person name                Ed Sheeran honorific_suffix    MBE image               Ed Sheeran-6886 (cropped).jpg caption             Sheeran in Berlin in 2018 birth_name          
Ed Sheeran,Sheeran,Infobox person name                Ed Sheeran honorific_suffix    MBE image               Ed Sheeran-6886 (cropped).jpg caption             Sheeran in Berlin in 2018 birth_name          
Ed Sheeran,Berlin,Infobox person name                Ed Sheeran honorific_suffix    MBE image               Ed Sheeran-6886 (cropped).jpg caption             Sheeran in Berlin in 2018 birth_name          
Ed Sheeran,2018,Infobox person name                Ed Sheeran honorific_suffix    MBE image               Ed Sheeran-6886 (cropped).jpg caption             Sheeran in Berlin in 2018 birth_name          
Ed Sheeran,Edward Christopher,"Edward Christopher Sheeran education           Thomas Mills High School birth_date           birth_place         Halifax, West Yorkshire, England occupation           Singer-songwriter record producer actor years_active        2004present spouse               children            1 awards              Full list website              module              Infobox musical artist embedyes instrument     Vocals guitar genre          Pop folk-pop soft rock label          Asylum Atlantic Elektra associated_acts   Taylor Swift Benny Blanco Jake Gosling Fred"
Ed Sheeran,Thomas Mills High School,"Edward Christopher Sheeran education           Thomas Mills High School birth_date           birth_place         Halifax, West Yorkshire, England occupation           Singer-songwriter record producer actor years_active        2004present spouse               children            1 awards              Full list website              module              Infobox musical artist embedyes instrument     Vocals guitar genre          Pop folk-pop soft rock label          Asylum Atlantic Elektra associated_acts   Taylor Swift Benny Blanco Jake Gosling Fred"
Ed Sheeran,Halifax,"Edward Christopher Sheeran education           Thomas Mills High School birth_date           birth_place         Halifax, West Yorkshire, England occupation           Singer-songwriter record producer actor years_active        2004present spouse               children            1 awards              Full list website              module              Infobox musical artist embedyes instrument     Vocals guitar genre          Pop folk-pop soft rock label          Asylum Atlantic Elektra associated_acts   Taylor Swift Benny Blanco Jake Gosling Fred"
Ed Sheeran,West Yorkshire,"Edward Christopher Sheeran education           Thomas Mills High School birth_date           birth_place         Halifax, West Yorkshire, England occupation           Singer-songwriter record producer actor years_active        2004present spouse               children            1 awards              Full list website              module              Infobox musical artist embedyes instrument     Vocals guitar genre          Pop folk-pop soft rock label          Asylum Atlantic Elektra associated_acts   Taylor Swift Benny Blanco Jake Gosling Fred"
Ed Sheeran,England,"Edward Christopher Sheeran education           Thomas Mills High School birth_date           birth_place         Halifax, West Yorkshire, England occupation           Singer-songwriter record producer actor years_active        2004present spouse               children            1 awards              Full list website              module              Infobox musical artist embedyes instrument     Vocals guitar genre          Pop folk-pop soft rock label          Asylum Atlantic Elektra associated_acts   Taylor Swift Benny Blanco Jake Gosling Fred"
Ed Sheeran,Taylor Swift,"Edward Christopher Sheeran education           Thomas Mills High School birth_date           birth_place         Halifax, West Yorkshire, England occupation           Singer-songwriter record producer actor years_active        2004present spouse               children            1 awards              Full list website              module              Infobox musical artist embedyes instrument     Vocals guitar genre          Pop folk-pop soft rock label          Asylum Atlantic Elektra associated_acts   Taylor Swift Benny Blanco Jake Gosling Fred"
Ed Sheeran,Benny Blanco,"Edward Christopher Sheeran education           Thomas Mills High School birth_date           birth_place         Halifax, West Yorkshire, England occupation           Singer-songwriter record producer actor years_active        2004present spouse               children            1 awards              Full list website              module              Infobox musical artist embedyes instrument     Vocals guitar genre          Pop folk-pop soft rock label          Asylum Atlantic Elektra associated_acts   Taylor Swift Benny Blanco Jake Gosling Fred"
