Title,Named-entity,Sentence
Elon Musk,Infobox,"Infobox person name                Elon Musk honorific_suffix     image               Elon Musk Royal Society (crop2).jpg caption             Musk at the Royal Society admissions day in London, 2018 birth_name          Elon Reeve Musk birth_date"
Elon Musk,Royal Society,"Infobox person name                Elon Musk honorific_suffix     image               Elon Musk Royal Society (crop2).jpg caption             Musk at the Royal Society admissions day in London, 2018 birth_name          Elon Reeve Musk birth_date"
Elon Musk,London,"Infobox person name                Elon Musk honorific_suffix     image               Elon Musk Royal Society (crop2).jpg caption             Musk at the Royal Society admissions day in London, 2018 birth_name          Elon Reeve Musk birth_date"
Elon Musk,2018,"Infobox person name                Elon Musk honorific_suffix     image               Elon Musk Royal Society (crop2).jpg caption             Musk at the Royal Society admissions day in London, 2018 birth_name          Elon Reeve Musk birth_date"
Elon Musk,Elon Reeve Musk,"Infobox person name                Elon Musk honorific_suffix     image               Elon Musk Royal Society (crop2).jpg caption             Musk at the Royal Society admissions day in London, 2018 birth_name          Elon Reeve Musk birth_date"
Elon Musk,Pretoria,"          birth_place         Pretoria, Transvaal, South Africa death_date          death_place         occupation          years_active        citizenship         United States education           University of Pennsylvania (BS, BA) title               Unbulleted list    Founder, CEO and Chief Engineer of SpaceX CEO and product architect of Tesla,"
Elon Musk,Transvaal,"          birth_place         Pretoria, Transvaal, South Africa death_date          death_place         occupation          years_active        citizenship         United States education           University of Pennsylvania (BS, BA) title               Unbulleted list    Founder, CEO and Chief Engineer of SpaceX CEO and product architect of Tesla,"
Elon Musk,South Africa,"          birth_place         Pretoria, Transvaal, South Africa death_date          death_place         occupation          years_active        citizenship         United States education           University of Pennsylvania (BS, BA) title               Unbulleted list    Founder, CEO and Chief Engineer of SpaceX CEO and product architect of Tesla,"
Elon Musk,United States,"          birth_place         Pretoria, Transvaal, South Africa death_date          death_place         occupation          years_active        citizenship         United States education           University of Pennsylvania (BS, BA) title               Unbulleted list    Founder, CEO and Chief Engineer of SpaceX CEO and product architect of Tesla,"
Elon Musk,University of Pennsylvania (BS,"          birth_place         Pretoria, Transvaal, South Africa death_date          death_place         occupation          years_active        citizenship         United States education           University of Pennsylvania (BS, BA) title               Unbulleted list    Founder, CEO and Chief Engineer of SpaceX CEO and product architect of Tesla,"
Elon Musk,BA,"          birth_place         Pretoria, Transvaal, South Africa death_date          death_place         occupation          years_active        citizenship         United States education           University of Pennsylvania (BS, BA) title               Unbulleted list    Founder, CEO and Chief Engineer of SpaceX CEO and product architect of Tesla,"
