Title,Named-entity,Sentence
George R. R. Martin,Infobox,"Infobox writer name              George R. R. Martin image             Portrait photoshoot at Worldcon 75, Helsinki, before the Hugo Awards  George R. R. Martin.jpg caption           Martin in 2017 birth_name        George Raymond Martin birth_date         birth_place       Bayonne,Bayonne, New Jersey, U.S. occupation         Novelist Screenwriter Short-story writer education         Northwestern University (BS, MS) genre              Fantasy Horror Science fiction spouses            signature         George R. R. Martin signature.svg website            notable_works     Song of Ice and Fire, Wildcards anthology series, The Thousand World storiesGeorge Raymond Richard Martin (born George Raymond Martin; September 20, 1948), also known as GRRM, is an American novelist, screenwriter, television producer and short story writer."
George R. R. Martin,George R. R. Martin,"Infobox writer name              George R. R. Martin image             Portrait photoshoot at Worldcon 75, Helsinki, before the Hugo Awards  George R. R. Martin.jpg caption           Martin in 2017 birth_name        George Raymond Martin birth_date         birth_place       Bayonne,Bayonne, New Jersey, U.S. occupation         Novelist Screenwriter Short-story writer education         Northwestern University (BS, MS) genre              Fantasy Horror Science fiction spouses            signature         George R. R. Martin signature.svg website            notable_works     Song of Ice and Fire, Wildcards anthology series, The Thousand World storiesGeorge Raymond Richard Martin (born George Raymond Martin; September 20, 1948), also known as GRRM, is an American novelist, screenwriter, television producer and short story writer."
George R. R. Martin,Worldcon,"Infobox writer name              George R. R. Martin image             Portrait photoshoot at Worldcon 75, Helsinki, before the Hugo Awards  George R. R. Martin.jpg caption           Martin in 2017 birth_name        George Raymond Martin birth_date         birth_place       Bayonne,Bayonne, New Jersey, U.S. occupation         Novelist Screenwriter Short-story writer education         Northwestern University (BS, MS) genre              Fantasy Horror Science fiction spouses            signature         George R. R. Martin signature.svg website            notable_works     Song of Ice and Fire, Wildcards anthology series, The Thousand World storiesGeorge Raymond Richard Martin (born George Raymond Martin; September 20, 1948), also known as GRRM, is an American novelist, screenwriter, television producer and short story writer."
George R. R. Martin,75,"Infobox writer name              George R. R. Martin image             Portrait photoshoot at Worldcon 75, Helsinki, before the Hugo Awards  George R. R. Martin.jpg caption           Martin in 2017 birth_name        George Raymond Martin birth_date         birth_place       Bayonne,Bayonne, New Jersey, U.S. occupation         Novelist Screenwriter Short-story writer education         Northwestern University (BS, MS) genre              Fantasy Horror Science fiction spouses            signature         George R. R. Martin signature.svg website            notable_works     Song of Ice and Fire, Wildcards anthology series, The Thousand World storiesGeorge Raymond Richard Martin (born George Raymond Martin; September 20, 1948), also known as GRRM, is an American novelist, screenwriter, television producer and short story writer."
George R. R. Martin,Helsinki,"Infobox writer name              George R. R. Martin image             Portrait photoshoot at Worldcon 75, Helsinki, before the Hugo Awards  George R. R. Martin.jpg caption           Martin in 2017 birth_name        George Raymond Martin birth_date         birth_place       Bayonne,Bayonne, New Jersey, U.S. occupation         Novelist Screenwriter Short-story writer education         Northwestern University (BS, MS) genre              Fantasy Horror Science fiction spouses            signature         George R. R. Martin signature.svg website            notable_works     Song of Ice and Fire, Wildcards anthology series, The Thousand World storiesGeorge Raymond Richard Martin (born George Raymond Martin; September 20, 1948), also known as GRRM, is an American novelist, screenwriter, television producer and short story writer."
George R. R. Martin,the Hugo Awards,"Infobox writer name              George R. R. Martin image             Portrait photoshoot at Worldcon 75, Helsinki, before the Hugo Awards  George R. R. Martin.jpg caption           Martin in 2017 birth_name        George Raymond Martin birth_date         birth_place       Bayonne,Bayonne, New Jersey, U.S. occupation         Novelist Screenwriter Short-story writer education         Northwestern University (BS, MS) genre              Fantasy Horror Science fiction spouses            signature         George R. R. Martin signature.svg website            notable_works     Song of Ice and Fire, Wildcards anthology series, The Thousand World storiesGeorge Raymond Richard Martin (born George Raymond Martin; September 20, 1948), also known as GRRM, is an American novelist, screenwriter, television producer and short story writer."
George R. R. Martin,George R. R. Martin.jpg,"Infobox writer name              George R. R. Martin image             Portrait photoshoot at Worldcon 75, Helsinki, before the Hugo Awards  George R. R. Martin.jpg caption           Martin in 2017 birth_name        George Raymond Martin birth_date         birth_place       Bayonne,Bayonne, New Jersey, U.S. occupation         Novelist Screenwriter Short-story writer education         Northwestern University (BS, MS) genre              Fantasy Horror Science fiction spouses            signature         George R. R. Martin signature.svg website            notable_works     Song of Ice and Fire, Wildcards anthology series, The Thousand World storiesGeorge Raymond Richard Martin (born George Raymond Martin; September 20, 1948), also known as GRRM, is an American novelist, screenwriter, television producer and short story writer."
George R. R. Martin,2017,"Infobox writer name              George R. R. Martin image             Portrait photoshoot at Worldcon 75, Helsinki, before the Hugo Awards  George R. R. Martin.jpg caption           Martin in 2017 birth_name        George Raymond Martin birth_date         birth_place       Bayonne,Bayonne, New Jersey, U.S. occupation         Novelist Screenwriter Short-story writer education         Northwestern University (BS, MS) genre              Fantasy Horror Science fiction spouses            signature         George R. R. Martin signature.svg website            notable_works     Song of Ice and Fire, Wildcards anthology series, The Thousand World storiesGeorge Raymond Richard Martin (born George Raymond Martin; September 20, 1948), also known as GRRM, is an American novelist, screenwriter, television producer and short story writer."
George R. R. Martin,George Raymond Martin,"Infobox writer name              George R. R. Martin image             Portrait photoshoot at Worldcon 75, Helsinki, before the Hugo Awards  George R. R. Martin.jpg caption           Martin in 2017 birth_name        George Raymond Martin birth_date         birth_place       Bayonne,Bayonne, New Jersey, U.S. occupation         Novelist Screenwriter Short-story writer education         Northwestern University (BS, MS) genre              Fantasy Horror Science fiction spouses            signature         George R. R. Martin signature.svg website            notable_works     Song of Ice and Fire, Wildcards anthology series, The Thousand World storiesGeorge Raymond Richard Martin (born George Raymond Martin; September 20, 1948), also known as GRRM, is an American novelist, screenwriter, television producer and short story writer."
George R. R. Martin,Bayonne,"Infobox writer name              George R. R. Martin image             Portrait photoshoot at Worldcon 75, Helsinki, before the Hugo Awards  George R. R. Martin.jpg caption           Martin in 2017 birth_name        George Raymond Martin birth_date         birth_place       Bayonne,Bayonne, New Jersey, U.S. occupation         Novelist Screenwriter Short-story writer education         Northwestern University (BS, MS) genre              Fantasy Horror Science fiction spouses            signature         George R. R. Martin signature.svg website            notable_works     Song of Ice and Fire, Wildcards anthology series, The Thousand World storiesGeorge Raymond Richard Martin (born George Raymond Martin; September 20, 1948), also known as GRRM, is an American novelist, screenwriter, television producer and short story writer."
