Title,Named-entity,Sentence
Germany,Germany,"Infobox country conventional_long_name  Federal Republic of Germany common_name  Germany native_name   image_flag  Flag of Germany.svg image_coat  Coat of arms of Germany.svg national_anthem  ""Song of Germany"" image_map   map_caption  map caption location_color  dark green region  Europe region_color  dark grey subregion  the European Union subregion_color  light green   map_width  250px capital  Berlin coordinates   largest_city  capital languages_type  Official language languages  German demonym  German government_type  Federal parliamentary republic leader_title1  President leader_name1  Frank-Walter Steinmeier leader_title2  Chancellor leader_name2  Olaf Scholz legislature   upper_house  Bundesrat lower_house  Bundestag sovereignty_type  Formation established_event1   established_date1  18 January 1871 established_event2   established_date2  9 November 1918 established_event3  Nazi Germany established_date3  23 March 1933 established_event4   established_date4  23 May 1949 established_event5  Reunification established_date5  3 October 1990 area_km2  357,022 area_footnote   area_rank  63rd  area_sq_mi  137,847  percent_water  1.27 (2015)"
Germany,image_flag  Flag,"Infobox country conventional_long_name  Federal Republic of Germany common_name  Germany native_name   image_flag  Flag of Germany.svg image_coat  Coat of arms of Germany.svg national_anthem  ""Song of Germany"" image_map   map_caption  map caption location_color  dark green region  Europe region_color  dark grey subregion  the European Union subregion_color  light green   map_width  250px capital  Berlin coordinates   largest_city  capital languages_type  Official language languages  German demonym  German government_type  Federal parliamentary republic leader_title1  President leader_name1  Frank-Walter Steinmeier leader_title2  Chancellor leader_name2  Olaf Scholz legislature   upper_house  Bundesrat lower_house  Bundestag sovereignty_type  Formation established_event1   established_date1  18 January 1871 established_event2   established_date2  9 November 1918 established_event3  Nazi Germany established_date3  23 March 1933 established_event4   established_date4  23 May 1949 established_event5  Reunification established_date5  3 October 1990 area_km2  357,022 area_footnote   area_rank  63rd  area_sq_mi  137,847  percent_water  1.27 (2015)"
Germany,Germany.svg,"Infobox country conventional_long_name  Federal Republic of Germany common_name  Germany native_name   image_flag  Flag of Germany.svg image_coat  Coat of arms of Germany.svg national_anthem  ""Song of Germany"" image_map   map_caption  map caption location_color  dark green region  Europe region_color  dark grey subregion  the European Union subregion_color  light green   map_width  250px capital  Berlin coordinates   largest_city  capital languages_type  Official language languages  German demonym  German government_type  Federal parliamentary republic leader_title1  President leader_name1  Frank-Walter Steinmeier leader_title2  Chancellor leader_name2  Olaf Scholz legislature   upper_house  Bundesrat lower_house  Bundestag sovereignty_type  Formation established_event1   established_date1  18 January 1871 established_event2   established_date2  9 November 1918 established_event3  Nazi Germany established_date3  23 March 1933 established_event4   established_date4  23 May 1949 established_event5  Reunification established_date5  3 October 1990 area_km2  357,022 area_footnote   area_rank  63rd  area_sq_mi  137,847  percent_water  1.27 (2015)"
Germany,Germany.svg,"Infobox country conventional_long_name  Federal Republic of Germany common_name  Germany native_name   image_flag  Flag of Germany.svg image_coat  Coat of arms of Germany.svg national_anthem  ""Song of Germany"" image_map   map_caption  map caption location_color  dark green region  Europe region_color  dark grey subregion  the European Union subregion_color  light green   map_width  250px capital  Berlin coordinates   largest_city  capital languages_type  Official language languages  German demonym  German government_type  Federal parliamentary republic leader_title1  President leader_name1  Frank-Walter Steinmeier leader_title2  Chancellor leader_name2  Olaf Scholz legislature   upper_house  Bundesrat lower_house  Bundestag sovereignty_type  Formation established_event1   established_date1  18 January 1871 established_event2   established_date2  9 November 1918 established_event3  Nazi Germany established_date3  23 March 1933 established_event4   established_date4  23 May 1949 established_event5  Reunification established_date5  3 October 1990 area_km2  357,022 area_footnote   area_rank  63rd  area_sq_mi  137,847  percent_water  1.27 (2015)"
Germany,Germany,"Infobox country conventional_long_name  Federal Republic of Germany common_name  Germany native_name   image_flag  Flag of Germany.svg image_coat  Coat of arms of Germany.svg national_anthem  ""Song of Germany"" image_map   map_caption  map caption location_color  dark green region  Europe region_color  dark grey subregion  the European Union subregion_color  light green   map_width  250px capital  Berlin coordinates   largest_city  capital languages_type  Official language languages  German demonym  German government_type  Federal parliamentary republic leader_title1  President leader_name1  Frank-Walter Steinmeier leader_title2  Chancellor leader_name2  Olaf Scholz legislature   upper_house  Bundesrat lower_house  Bundestag sovereignty_type  Formation established_event1   established_date1  18 January 1871 established_event2   established_date2  9 November 1918 established_event3  Nazi Germany established_date3  23 March 1933 established_event4   established_date4  23 May 1949 established_event5  Reunification established_date5  3 October 1990 area_km2  357,022 area_footnote   area_rank  63rd  area_sq_mi  137,847  percent_water  1.27 (2015)"
Germany,Europe,"Infobox country conventional_long_name  Federal Republic of Germany common_name  Germany native_name   image_flag  Flag of Germany.svg image_coat  Coat of arms of Germany.svg national_anthem  ""Song of Germany"" image_map   map_caption  map caption location_color  dark green region  Europe region_color  dark grey subregion  the European Union subregion_color  light green   map_width  250px capital  Berlin coordinates   largest_city  capital languages_type  Official language languages  German demonym  German government_type  Federal parliamentary republic leader_title1  President leader_name1  Frank-Walter Steinmeier leader_title2  Chancellor leader_name2  Olaf Scholz legislature   upper_house  Bundesrat lower_house  Bundestag sovereignty_type  Formation established_event1   established_date1  18 January 1871 established_event2   established_date2  9 November 1918 established_event3  Nazi Germany established_date3  23 March 1933 established_event4   established_date4  23 May 1949 established_event5  Reunification established_date5  3 October 1990 area_km2  357,022 area_footnote   area_rank  63rd  area_sq_mi  137,847  percent_water  1.27 (2015)"
Germany,the European Union,"Infobox country conventional_long_name  Federal Republic of Germany common_name  Germany native_name   image_flag  Flag of Germany.svg image_coat  Coat of arms of Germany.svg national_anthem  ""Song of Germany"" image_map   map_caption  map caption location_color  dark green region  Europe region_color  dark grey subregion  the European Union subregion_color  light green   map_width  250px capital  Berlin coordinates   largest_city  capital languages_type  Official language languages  German demonym  German government_type  Federal parliamentary republic leader_title1  President leader_name1  Frank-Walter Steinmeier leader_title2  Chancellor leader_name2  Olaf Scholz legislature   upper_house  Bundesrat lower_house  Bundestag sovereignty_type  Formation established_event1   established_date1  18 January 1871 established_event2   established_date2  9 November 1918 established_event3  Nazi Germany established_date3  23 March 1933 established_event4   established_date4  23 May 1949 established_event5  Reunification established_date5  3 October 1990 area_km2  357,022 area_footnote   area_rank  63rd  area_sq_mi  137,847  percent_water  1.27 (2015)"
Germany,Berlin,"Infobox country conventional_long_name  Federal Republic of Germany common_name  Germany native_name   image_flag  Flag of Germany.svg image_coat  Coat of arms of Germany.svg national_anthem  ""Song of Germany"" image_map   map_caption  map caption location_color  dark green region  Europe region_color  dark grey subregion  the European Union subregion_color  light green   map_width  250px capital  Berlin coordinates   largest_city  capital languages_type  Official language languages  German demonym  German government_type  Federal parliamentary republic leader_title1  President leader_name1  Frank-Walter Steinmeier leader_title2  Chancellor leader_name2  Olaf Scholz legislature   upper_house  Bundesrat lower_house  Bundestag sovereignty_type  Formation established_event1   established_date1  18 January 1871 established_event2   established_date2  9 November 1918 established_event3  Nazi Germany established_date3  23 March 1933 established_event4   established_date4  23 May 1949 established_event5  Reunification established_date5  3 October 1990 area_km2  357,022 area_footnote   area_rank  63rd  area_sq_mi  137,847  percent_water  1.27 (2015)"
Germany,German,"Infobox country conventional_long_name  Federal Republic of Germany common_name  Germany native_name   image_flag  Flag of Germany.svg image_coat  Coat of arms of Germany.svg national_anthem  ""Song of Germany"" image_map   map_caption  map caption location_color  dark green region  Europe region_color  dark grey subregion  the European Union subregion_color  light green   map_width  250px capital  Berlin coordinates   largest_city  capital languages_type  Official language languages  German demonym  German government_type  Federal parliamentary republic leader_title1  President leader_name1  Frank-Walter Steinmeier leader_title2  Chancellor leader_name2  Olaf Scholz legislature   upper_house  Bundesrat lower_house  Bundestag sovereignty_type  Formation established_event1   established_date1  18 January 1871 established_event2   established_date2  9 November 1918 established_event3  Nazi Germany established_date3  23 March 1933 established_event4   established_date4  23 May 1949 established_event5  Reunification established_date5  3 October 1990 area_km2  357,022 area_footnote   area_rank  63rd  area_sq_mi  137,847  percent_water  1.27 (2015)"
Germany,German,"Infobox country conventional_long_name  Federal Republic of Germany common_name  Germany native_name   image_flag  Flag of Germany.svg image_coat  Coat of arms of Germany.svg national_anthem  ""Song of Germany"" image_map   map_caption  map caption location_color  dark green region  Europe region_color  dark grey subregion  the European Union subregion_color  light green   map_width  250px capital  Berlin coordinates   largest_city  capital languages_type  Official language languages  German demonym  German government_type  Federal parliamentary republic leader_title1  President leader_name1  Frank-Walter Steinmeier leader_title2  Chancellor leader_name2  Olaf Scholz legislature   upper_house  Bundesrat lower_house  Bundestag sovereignty_type  Formation established_event1   established_date1  18 January 1871 established_event2   established_date2  9 November 1918 established_event3  Nazi Germany established_date3  23 March 1933 established_event4   established_date4  23 May 1949 established_event5  Reunification established_date5  3 October 1990 area_km2  357,022 area_footnote   area_rank  63rd  area_sq_mi  137,847  percent_water  1.27 (2015)"
