Title,Named-entity,Sentence
India,India,"Infobox country conventional_long_name  Republic of India common_name             India native_name               image_flag              Flag of India.svg alt_flag                Horizontal tricolour flag bearing, from top to bottom, deep saffron, white, and green horizontal bands."
India,India,"Infobox country conventional_long_name  Republic of India common_name             India native_name               image_flag              Flag of India.svg alt_flag                Horizontal tricolour flag bearing, from top to bottom, deep saffron, white, and green horizontal bands."
India,image_flag              Flag,"Infobox country conventional_long_name  Republic of India common_name             India native_name               image_flag              Flag of India.svg alt_flag                Horizontal tricolour flag bearing, from top to bottom, deep saffron, white, and green horizontal bands."
India,India.svg,"Infobox country conventional_long_name  Republic of India common_name             India native_name               image_flag              Flag of India.svg alt_flag                Horizontal tricolour flag bearing, from top to bottom, deep saffron, white, and green horizontal bands."
India,24,In the centre of the white band is a navy-blue wheel with 24 spokes.
India,image_coat              Emblem,"image_coat              Emblem of India.svg symbol_width            60px alt_coat                Three lions facing left, right, and toward viewer, atop a frieze containing a galloping horse, a 24-spoke wheel, and an elephant."
India,India.svg,"image_coat              Emblem of India.svg symbol_width            60px alt_coat                Three lions facing left, right, and toward viewer, atop a frieze containing a galloping horse, a 24-spoke wheel, and an elephant."
India,24,"image_coat              Emblem of India.svg symbol_width            60px alt_coat                Three lions facing left, right, and toward viewer, atop a frieze containing a galloping horse, a 24-spoke wheel, and an elephant."
India,India,"symbol_type             State emblem other_symbol             other_symbol_type       National song national_motto           national_anthem          national_languages      None image_map               India (orthographic projection).svg map_width               250px alt_map                 Image of a globe centred on India, with India highlighted."
India,India,"symbol_type             State emblem other_symbol             other_symbol_type       National song national_motto           national_anthem          national_languages      None image_map               India (orthographic projection).svg map_width               250px alt_map                 Image of a globe centred on India, with India highlighted."
India,India,"symbol_type             State emblem other_symbol             other_symbol_type       National song national_motto           national_anthem          national_languages      None image_map               India (orthographic projection).svg map_width               250px alt_map                 Image of a globe centred on India, with India highlighted."
India,India,map_caption             Area controlled by India shown in dark green; regions claimed but not controlled shown in light green capital                 New Delhi coordinates              largest_city             Mumbai (city proper)
India,New Delhi,map_caption             Area controlled by India shown in dark green; regions claimed but not controlled shown in light green capital                 New Delhi coordinates              largest_city             Mumbai (city proper)
India,Mumbai,map_caption             Area controlled by India shown in dark green; regions claimed but not controlled shown in light green capital                 New Delhi coordinates              largest_city             Mumbai (city proper)
India,Delhi,"Delhi (metropolitan area) official_languages       regional_languages      collapsible listtitlestyle  background:transparent;text-align:left;title  State level and hlist Assamese Bengali Boro Dogri Gujarati Hindi Kannada Kashmiri Kokborok Konkani Maithili Malayalam Manipuri Marathi Mizo Nepali Odia Punjabi Sanskrit Santali Sindhi Tamil Telugu Urdu  languages_type          Native languages languages               447 languages demonym                 Indian government_type         Federal parliamentary constitutional republic leader_title1           President leader_name1            Ram Nath Kovind leader_title2           Vice President leader_name2            Venkaiah Naidu leader_title3           Prime Minister leader_name3            Narendra Modi leader_title4           Chief Justice leader_name4            N. V. Ramana leader_title5           Lok Sabha Speaker leader_name5            Om Birla legislature             Parliament upper_house             Rajya Sabha lower_house             Lok Sabha sovereignty_type        Independence sovereignty_note        from the United Kingdom established_event1      Dominion established_date1       15 August 1947 established_event2      Republic established_date2       26 January 1950 area_km2                3,287,263"
India,Assamese,"Delhi (metropolitan area) official_languages       regional_languages      collapsible listtitlestyle  background:transparent;text-align:left;title  State level and hlist Assamese Bengali Boro Dogri Gujarati Hindi Kannada Kashmiri Kokborok Konkani Maithili Malayalam Manipuri Marathi Mizo Nepali Odia Punjabi Sanskrit Santali Sindhi Tamil Telugu Urdu  languages_type          Native languages languages               447 languages demonym                 Indian government_type         Federal parliamentary constitutional republic leader_title1           President leader_name1            Ram Nath Kovind leader_title2           Vice President leader_name2            Venkaiah Naidu leader_title3           Prime Minister leader_name3            Narendra Modi leader_title4           Chief Justice leader_name4            N. V. Ramana leader_title5           Lok Sabha Speaker leader_name5            Om Birla legislature             Parliament upper_house             Rajya Sabha lower_house             Lok Sabha sovereignty_type        Independence sovereignty_note        from the United Kingdom established_event1      Dominion established_date1       15 August 1947 established_event2      Republic established_date2       26 January 1950 area_km2                3,287,263"
India,Bengali,"Delhi (metropolitan area) official_languages       regional_languages      collapsible listtitlestyle  background:transparent;text-align:left;title  State level and hlist Assamese Bengali Boro Dogri Gujarati Hindi Kannada Kashmiri Kokborok Konkani Maithili Malayalam Manipuri Marathi Mizo Nepali Odia Punjabi Sanskrit Santali Sindhi Tamil Telugu Urdu  languages_type          Native languages languages               447 languages demonym                 Indian government_type         Federal parliamentary constitutional republic leader_title1           President leader_name1            Ram Nath Kovind leader_title2           Vice President leader_name2            Venkaiah Naidu leader_title3           Prime Minister leader_name3            Narendra Modi leader_title4           Chief Justice leader_name4            N. V. Ramana leader_title5           Lok Sabha Speaker leader_name5            Om Birla legislature             Parliament upper_house             Rajya Sabha lower_house             Lok Sabha sovereignty_type        Independence sovereignty_note        from the United Kingdom established_event1      Dominion established_date1       15 August 1947 established_event2      Republic established_date2       26 January 1950 area_km2                3,287,263"
