Title,Named-entity,Sentence
Selena Gomez,Infobox,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,Selena Gomez,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,Selena Gomez,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,Gomez,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,2021,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,Gomez,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,2021,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,Selena Marie Gomez,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,Texas,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,U.S.,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,Selena Marie Gomez,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,"July 22, 1992","Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,American,"Infobox person name                Selena Gomez image               Selena Gomez Beauty Secrets (cropped).png caption             Gomez in 2021 alt                 Gomez for Vogue in 2021, with dark hair  birth_name          Selena Marie Gomez birth_date           birth_place         Grand Prairie, Texas, U.S. occupation           years_active        2002present works                awards              Full list module              Infobox musical artist embed             yes genre              instrument         label              associated_acts    website           Selena Marie Gomez (; born July 22, 1992) is an American singer, actress, and producer."
Selena Gomez,Gomez,Gomez began her acting career on the children's television series Barney & Friends (20022004).
Selena Gomez,Barney & Friends,Gomez began her acting career on the children's television series Barney & Friends (20022004).
Selena Gomez,20022004,Gomez began her acting career on the children's television series Barney & Friends (20022004).
Selena Gomez,Alex Russo,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,Disney Channel,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,Wizards of Waverly Place,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,20072012).Alongside,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,Gomez,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,Another Cinderella Story,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,2008,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,Princess Protection Program,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,2009,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,Wizards of Waverly Place,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,2009,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,Ramona,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,2010,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,Monte Carlo,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
Selena Gomez,2011,"In her teenage years, she rose to prominence for her lead role as Alex Russo in the Disney Channel television series Wizards of Waverly Place (20072012).Alongside her television career, Gomez appeared in the films Another Cinderella Story (2008), Princess Protection Program (2009), Wizards of Waverly Place: The Movie (2009), Ramona and Beezus (2010), Monte Carlo (2011), Spring Breakers (2012), Getaway (2013), The Fundamentals of Caring (2016), The Dead Don'The Dead Don't Die (2019), and A Rainy Day in New York (2019)."
