Title,Named-entity,Sentence
Shawn Mendes,Infobox,Infobox person name                Shawn Mendes image               Shawn Mendes teaches you Canadian slangs 01.jpg caption             Mendes in 2020 birth_name          Shawn Peter Raul Mendes birth_date
Shawn Mendes,Shawn Mendes,Infobox person name                Shawn Mendes image               Shawn Mendes teaches you Canadian slangs 01.jpg caption             Mendes in 2020 birth_name          Shawn Peter Raul Mendes birth_date
Shawn Mendes,Shawn Mendes,Infobox person name                Shawn Mendes image               Shawn Mendes teaches you Canadian slangs 01.jpg caption             Mendes in 2020 birth_name          Shawn Peter Raul Mendes birth_date
Shawn Mendes,Canadian,Infobox person name                Shawn Mendes image               Shawn Mendes teaches you Canadian slangs 01.jpg caption             Mendes in 2020 birth_name          Shawn Peter Raul Mendes birth_date
Shawn Mendes,Mendes,Infobox person name                Shawn Mendes image               Shawn Mendes teaches you Canadian slangs 01.jpg caption             Mendes in 2020 birth_name          Shawn Peter Raul Mendes birth_date
Shawn Mendes,2020,Infobox person name                Shawn Mendes image               Shawn Mendes teaches you Canadian slangs 01.jpg caption             Mendes in 2020 birth_name          Shawn Peter Raul Mendes birth_date
Shawn Mendes,Shawn Peter Raul Mendes,Infobox person name                Shawn Mendes image               Shawn Mendes teaches you Canadian slangs 01.jpg caption             Mendes in 2020 birth_name          Shawn Peter Raul Mendes birth_date
Shawn Mendes,Pickering,"          birth_place         Pickering, Ontario, Canada occupation           Singer songwriter  years_active        2013present partner              awards              Full list module              Infobox musical artist embed            yes instrument        Vocals guitar genre             Pop folk-pop pop rock label             Island  associated_acts   Teddy Geiger  website          Shawn Peter Raul Mendes (; born August 8, 1998) is a Canadian singer and songwriter."
Shawn Mendes,Ontario,"          birth_place         Pickering, Ontario, Canada occupation           Singer songwriter  years_active        2013present partner              awards              Full list module              Infobox musical artist embed            yes instrument        Vocals guitar genre             Pop folk-pop pop rock label             Island  associated_acts   Teddy Geiger  website          Shawn Peter Raul Mendes (; born August 8, 1998) is a Canadian singer and songwriter."
Shawn Mendes,Canada,"          birth_place         Pickering, Ontario, Canada occupation           Singer songwriter  years_active        2013present partner              awards              Full list module              Infobox musical artist embed            yes instrument        Vocals guitar genre             Pop folk-pop pop rock label             Island  associated_acts   Teddy Geiger  website          Shawn Peter Raul Mendes (; born August 8, 1998) is a Canadian singer and songwriter."
Shawn Mendes,Teddy Geiger,"          birth_place         Pickering, Ontario, Canada occupation           Singer songwriter  years_active        2013present partner              awards              Full list module              Infobox musical artist embed            yes instrument        Vocals guitar genre             Pop folk-pop pop rock label             Island  associated_acts   Teddy Geiger  website          Shawn Peter Raul Mendes (; born August 8, 1998) is a Canadian singer and songwriter."
Shawn Mendes,Shawn Peter Raul Mendes,"          birth_place         Pickering, Ontario, Canada occupation           Singer songwriter  years_active        2013present partner              awards              Full list module              Infobox musical artist embed            yes instrument        Vocals guitar genre             Pop folk-pop pop rock label             Island  associated_acts   Teddy Geiger  website          Shawn Peter Raul Mendes (; born August 8, 1998) is a Canadian singer and songwriter."
Shawn Mendes,"August 8, 1998","          birth_place         Pickering, Ontario, Canada occupation           Singer songwriter  years_active        2013present partner              awards              Full list module              Infobox musical artist embed            yes instrument        Vocals guitar genre             Pop folk-pop pop rock label             Island  associated_acts   Teddy Geiger  website          Shawn Peter Raul Mendes (; born August 8, 1998) is a Canadian singer and songwriter."
Shawn Mendes,Canadian,"          birth_place         Pickering, Ontario, Canada occupation           Singer songwriter  years_active        2013present partner              awards              Full list module              Infobox musical artist embed            yes instrument        Vocals guitar genre             Pop folk-pop pop rock label             Island  associated_acts   Teddy Geiger  website          Shawn Peter Raul Mendes (; born August 8, 1998) is a Canadian singer and songwriter."
Shawn Mendes,2013,"He gained a following in 2013, posting song covers on the video-sharing application Vine."
Shawn Mendes,Vine,"He gained a following in 2013, posting song covers on the video-sharing application Vine."
Shawn Mendes,The following year,"The following year, he caught the attention of artist manager Andrew Gertler and Island Records A&R Ziggy Chareton, which led to him signing a deal with the record label."
Shawn Mendes,Andrew Gertler,"The following year, he caught the attention of artist manager Andrew Gertler and Island Records A&R Ziggy Chareton, which led to him signing a deal with the record label."
Shawn Mendes,Island Records,"The following year, he caught the attention of artist manager Andrew Gertler and Island Records A&R Ziggy Chareton, which led to him signing a deal with the record label."
Shawn Mendes,Ziggy Chareton,"The following year, he caught the attention of artist manager Andrew Gertler and Island Records A&R Ziggy Chareton, which led to him signing a deal with the record label."
Shawn Mendes,Mendes,"Mendes's self-titled debut EP was released in 2014, followed by his debut studio album Handwritten in 2015."
Shawn Mendes,2014,"Mendes's self-titled debut EP was released in 2014, followed by his debut studio album Handwritten in 2015."
Shawn Mendes,2015,"Mendes's self-titled debut EP was released in 2014, followed by his debut studio album Handwritten in 2015."
Shawn Mendes,Mendes,"Handwritten debuted atop the US Billboard 200, making Mendes one of five artists ever to debut at number one before the age of 18."
Shawn Mendes,one,"Handwritten debuted atop the US Billboard 200, making Mendes one of five artists ever to debut at number one before the age of 18."
Shawn Mendes,five,"Handwritten debuted atop the US Billboard 200, making Mendes one of five artists ever to debut at number one before the age of 18."
Shawn Mendes,the age of 18,"Handwritten debuted atop the US Billboard 200, making Mendes one of five artists ever to debut at number one before the age of 18."
Shawn Mendes,number one,"The single ""Stitches"" reached number one in the UK and the top 10 in the US and Canada."
Shawn Mendes,UK,"The single ""Stitches"" reached number one in the UK and the top 10 in the US and Canada."
Shawn Mendes,10,"The single ""Stitches"" reached number one in the UK and the top 10 in the US and Canada."
Shawn Mendes,US,"The single ""Stitches"" reached number one in the UK and the top 10 in the US and Canada."
Shawn Mendes,Canada,"The single ""Stitches"" reached number one in the UK and the top 10 in the US and Canada."
