Title,Named-entity,Sentence
Volkswagen,Infobox,Infobox company name  Volkswagen logo  Volkswagen logo 2019.svg
Volkswagen,Volkswagen,Infobox company name  Volkswagen logo  Volkswagen logo 2019.svg
Volkswagen,Volkswagen,Infobox company name  Volkswagen logo  Volkswagen logo 2019.svg
Volkswagen,2019.svg,Infobox company name  Volkswagen logo  Volkswagen logo 2019.svg
Volkswagen,150,"logo_caption    logo_size  150 fate   type  Brand foundation   location_city  Wolfsburg location_country  Germany founder  German Labour Front area_served  Worldwide key_people  Ralf Brandstaetter (brand CEO)[ Ralf Brandsttter to lead Volkswagen core brand in future] on VW Group, 8 June 2020 industry  Automotive revenue   revenue_year   profit   profit_year   num_employees   num_employees_year   parent  Volkswagen Group subsid   homepage  Volkswagen ( The German term Volk translates to ""people"", thus Volkswagen translates to ""people's car""."
Volkswagen,Wolfsburg,"logo_caption    logo_size  150 fate   type  Brand foundation   location_city  Wolfsburg location_country  Germany founder  German Labour Front area_served  Worldwide key_people  Ralf Brandstaetter (brand CEO)[ Ralf Brandsttter to lead Volkswagen core brand in future] on VW Group, 8 June 2020 industry  Automotive revenue   revenue_year   profit   profit_year   num_employees   num_employees_year   parent  Volkswagen Group subsid   homepage  Volkswagen ( The German term Volk translates to ""people"", thus Volkswagen translates to ""people's car""."
Volkswagen,Germany,"logo_caption    logo_size  150 fate   type  Brand foundation   location_city  Wolfsburg location_country  Germany founder  German Labour Front area_served  Worldwide key_people  Ralf Brandstaetter (brand CEO)[ Ralf Brandsttter to lead Volkswagen core brand in future] on VW Group, 8 June 2020 industry  Automotive revenue   revenue_year   profit   profit_year   num_employees   num_employees_year   parent  Volkswagen Group subsid   homepage  Volkswagen ( The German term Volk translates to ""people"", thus Volkswagen translates to ""people's car""."
Volkswagen,German Labour Front,"logo_caption    logo_size  150 fate   type  Brand foundation   location_city  Wolfsburg location_country  Germany founder  German Labour Front area_served  Worldwide key_people  Ralf Brandstaetter (brand CEO)[ Ralf Brandsttter to lead Volkswagen core brand in future] on VW Group, 8 June 2020 industry  Automotive revenue   revenue_year   profit   profit_year   num_employees   num_employees_year   parent  Volkswagen Group subsid   homepage  Volkswagen ( The German term Volk translates to ""people"", thus Volkswagen translates to ""people's car""."
Volkswagen,Ralf Brandstaetter,"logo_caption    logo_size  150 fate   type  Brand foundation   location_city  Wolfsburg location_country  Germany founder  German Labour Front area_served  Worldwide key_people  Ralf Brandstaetter (brand CEO)[ Ralf Brandsttter to lead Volkswagen core brand in future] on VW Group, 8 June 2020 industry  Automotive revenue   revenue_year   profit   profit_year   num_employees   num_employees_year   parent  Volkswagen Group subsid   homepage  Volkswagen ( The German term Volk translates to ""people"", thus Volkswagen translates to ""people's car""."
Volkswagen,Ralf Brandsttter,"logo_caption    logo_size  150 fate   type  Brand foundation   location_city  Wolfsburg location_country  Germany founder  German Labour Front area_served  Worldwide key_people  Ralf Brandstaetter (brand CEO)[ Ralf Brandsttter to lead Volkswagen core brand in future] on VW Group, 8 June 2020 industry  Automotive revenue   revenue_year   profit   profit_year   num_employees   num_employees_year   parent  Volkswagen Group subsid   homepage  Volkswagen ( The German term Volk translates to ""people"", thus Volkswagen translates to ""people's car""."
